*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v0.1.5
*Date=21:31:49
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;20.4089;-51.8924;0;Bottom;Copper Fill150
2;;;15.9258;-38.5828;0;Bottom;Copper Fill23
3;;;27.3812;-81.4326;0;Bottom;Copper Fill3
4;;;30.8356;-12.2176;0;Bottom;Copper Fill133
5;;;34.1884;-56.82;0;Bottom;Copper Fill18
6;;;21.3868;-58.0011;0;Bottom;Copper Fill159
7;;;26.9113;-55.0674;0;Bottom;Copper Fill64
8;;;26.6954;-40.4878;0;Bottom;Copper Fill116
9;;;34.1884;-69.52;0;Bottom;Copper Fill12
10;;;34.1884;-31.42;0;Bottom;Copper Fill43
11;;;32.004;-50.5335;0;Bottom;Copper Fill58
12;;;36.2458;-15.9387;0;Bottom;Copper Fill149
13;;;39.4208;-67.234;0;Bottom;Copper Fill13
14;;;24.0792;-33.1472;0;Bottom;Copper Fill42
15;;;26.6954;-46.6854;0;Bottom;Copper Fill111
16;;;36.2458;-18.4787;0;Bottom;Copper Fill57
17;;;34.1884;-59.36;0;Bottom;Copper Fill97
18;;;26.416;-55.5627;0;Bottom;Copper Fill156
19;;;34.1884;-36.5;0;Bottom;Copper Fill38
20;;;4.97984;-41.2604;0;Bottom;Via3
21;;;26.416;-58.1027;0;Bottom;Copper Fill161
22;;;9.398;-68.9866;0;Bottom;Copper Fill74
23;;;4.9149;-40.8434;0;Bottom;Copper Fill49
24;;;27.3812;-58.1027;0;Bottom;Copper Fill162
25;;;22.479;-50.0128;0;Bottom;Copper Fill1
26;;;41.4401;-47.4982;0;Bottom;Copper Fill143
27;;;36.2458;-35.2935;0;Bottom;Copper Fill137
28;;;34.1884;-36.5;0;Bottom;Copper Fill121
29;;;14.0462;-59.2584;0;Bottom;Copper Fill96
30;;;36.5252;-66.9546;0;Bottom;Copper Fill87
31;;;5.4102;-41.3387;0;Bottom;Copper Fill141
32;;;15.748;-54.2292;0;Bottom;Copper Fill19
33;;;34.1884;-39.04;0;Bottom;Copper Fill35
34;;;36.5252;-59.4362;0;Bottom;Copper Fill95
35;;;32.004;-50.5335;0;Bottom;Copper Fill148
36;;THT;34.3168;-14.5905;0;Bottom;AUX
37;;;41.9354;-47.9935;0;Bottom;Copper Fill55
38;;;35.3949;-93.65;0;Bottom;Copper Fill152
39;;;21.3868;-55.5119;0;Bottom;Copper Fill158
40;;;13.7668;-82.1184;0;Bottom;Copper Fill73
41;;;34.1884;-74.3206;0;Bottom;Copper Fill81
42;;;26.6954;-42.5452;0;Bottom;Copper Fill115
43;;;36.5252;-74.5746;0;Bottom;Copper Fill80
44;;;25.8152;-33.9813;-90;Bottom;IMG1
45;;;22.098;-39.802;0;Bottom;Copper Fill33
46;;;34.1884;-49.2;0;Bottom;Copper Fill22
47;;;21.5392;-53.0227;0;Bottom;Copper Fill63
48;;;15.748;-56.7438;0;Bottom;Copper Fill17
49;;;26.416;-55.5627;0;Bottom;Copper Fill65
50;;;36.6776;-35.23;0;Bottom;Copper Fill37
51;;;24.257;-35.2046;0;Bottom;Copper Fill40
52;;;34.1884;-39.04;0;Bottom;Copper Fill119
53;;48-pin 0.040" 3 row;8.24311;-50.0002;90;Bottom;Part23
54;;;34.1884;-44.12;0;Bottom;Copper Fill114
55;;;41.4401;-47.4982;0;Bottom;Copper Fill53
56;;;37.6174;-44.0946;0;Bottom;Copper Fill27
57;;;4.4196;-41.3387;0;Bottom;Copper Fill140
58;;;37.1348;-56.8708;0;Bottom;Copper Fill100
59;;;15.748;-24.7398;0;Bottom;Copper Fill45
60;;;34.1884;-61.9;0;Bottom;Copper Fill92
61;;;34.1884;-51.74;0;Bottom;Copper Fill21
62;;;21.3868;-58.0011;0;Bottom;Copper Fill66
63;;;34.1884;-72.06;0;Bottom;Copper Fill9
64;;;34.1884;-44.12;0;Bottom;Copper Fill28
65;;;26.8478;-38.6082;0;Bottom;Copper Fill25
66;;;34.1884;-56.82;0;Bottom;Copper Fill99
67;;;34.1884;-66.98;0;Bottom;Copper Fill14
68;;;34.1884;-33.96;0;Bottom;Copper Fill122
69;;;27.0256;-57.455;0;Bottom;Copper Fill94
70;;;26.6954;-62.6874;0;Bottom;Copper Fill90
71;;;22.7076;-29.6928;0;Bottom;Copper Fill124
72;;;41.4922;-47.9279;0;Bottom;Via2
73;;;34.8234;-77.14;0;Bottom;Copper Fill6
74;;;4.9149;-41.8086;0;Bottom;Copper Fill48
75;;;18.9738;-46.8886;0;Bottom;Copper Fill110
76;;;4.9149;-40.8434;0;Bottom;Copper Fill139
77;;;40.9448;-47.9935;0;Bottom;Copper Fill54
78;;;35.3949;-19.3296;0;Bottom;Copper Fill56
79;;;34.1884;-54.28;0;Bottom;Copper Fill104
80;;;22.5044;-43.231;0;Bottom;Copper Fill30
81;;;34.4932;-92.7483;0;Bottom;Copper Fill153
82;;;29.5656;-70.8154;0;Bottom;Copper Fill83
83;;;34.1884;-74.6;0;Bottom;Copper Fill7
84;;;26.9113;-58.598;0;Bottom;Copper Fill68
85;;;25.2124;-74.0037;-90;Bottom;IMG1
86;;;26.5684;-63.9574;0;Bottom;Copper Fill15
87;;;34.1884;-64.44;0;Bottom;Copper Fill89
88;;THT;34.3168;-54.278;0;Bottom;J4
89;;;34.1884;-14.5798;0;Bottom;Copper Fill46
90;;;21.5138;-70.4598;0;Bottom;Copper Fill10
91;;;26.5684;-38.4812;0;Bottom;Copper Fill118
92;;;24.7142;-37.262;0;Bottom;Copper Fill36
93;;;36.6776;-10.465;0;Bottom;Copper Fill134
94;;;36.5252;-77.1146;0;Bottom;Copper Fill78
95;;;15.748;-27.229;0;Bottom;Copper Fill44
96;;;34.1884;-51.74;0;Bottom;Copper Fill107
97;;;34.1884;-41.58;0;Bottom;Copper Fill117
98;;;36.9824;-39.0146;0;Bottom;Copper Fill34
99;;;38.6334;-69.774;0;Bottom;Copper Fill11
100;;;4.9149;-41.8086;0;Bottom;Copper Fill138
101;;;34.1884;-12.0398;0;Bottom;Copper Fill47
102;;;36.5252;-72.0346;0;Bottom;Copper Fill82
103;;;22.6822;-69.52;0;Bottom;Copper Fill86
104;;;15.7734;-21.4378;0;Bottom;Copper Fill129
105;;;26.9509;-55.5114;0;Bottom;Via1
106;;;26.5684;-44.7042;0;Bottom;Copper Fill113
107;;;40.9448;-47.9935;0;Bottom;Copper Fill144
108;;;31.9278;-21.5902;0;Bottom;Copper Fill128
109;;;34.1884;-14.5798;0;Bottom;Copper Fill132
110;;;34.1884;-54.28;0;Bottom;Copper Fill20
111;;;17.5514;-82.982;0;Bottom;Copper Fill2
112;;;36.5252;-69.4946;0;Bottom;Copper Fill84
113;;;35.3949;-93.65;0;Bottom;Copper Fill60
114;;;34.1884;-33.96;0;Bottom;Copper Fill41
115;;;27.94;-77.1908;0;Bottom;Copper Fill77
116;;;34.8488;-80.8484;0;Bottom;Copper Fill72
117;;;9.8806;-84.76;0;Bottom;Copper Fill71
118;;;6.1468;-84.4806;0;Bottom;Copper Fill70
