Designator,mid x,mid y,layer,Rotation
C18,12.66,29.39,Top,0
C19,5.17,31.88,Top,0
C25,73.72,13.08,Top,90
C2,50.20,25.17,Top,90
C4,52.85,25.09,Top,90
C6,60.36,25.17,Top,90
C8,62.93,32.72,Top,90
C10,75.60,25.15,Top,90
C24,76.26,13.06,Top,90
C27,62.93,25.17,Top,90
C29,70.57,25.15,Top,90
C1,45.15,25.15,Top,90
C3,35.39,19.43,Top,0
C5,58.89,20.09,Top,0
C7,70.22,32.77,Top,90
C9,71.16,13.11,Top,90
C13,68.64,89.41,Top,90
C15,82.92,85.14,Top,90
C26,64.43,20.14,Top,0
C28,68.01,19.38,Top,90
C30,58.89,71.60,Top,0
C11,68.42,57.96,Top,0
C12,76.97,42.06,Top,0
C20,5.19,29.36,Top,0
C16,82.94,91.72,Top,270
C23,27.37,34.70,Top,90
R25,45.61,54.98,Top,0
R27,45.55,52.50,Top,0
R31,45.55,45.19,Top,0
R32,45.55,47.68,Top,0
R62,30.54,37.69,Top,90
R2,47.71,25.15,Top,90
R4,55.31,25.12,Top,90
R6,57.88,25.09,Top,90
R8,66.67,31.76,Top,0
R22,73.07,25.14,Top,90
R41,12.66,31.83,Top,0
R64,65.44,25.17,Top,90
R65,67.98,25.15,Top,90
R11,31.48,84.51,Top,90
R12,31.53,91.76,Top,90
R15,13.70,91.76,Top,90
R16,13.70,84.48,Top,90
R21,72.80,32.81,Top,90
R23,88.41,52.18,Top,0
R24,88.36,54.72,Top,0
R29,88.47,36.94,Top,0
R30,88.41,39.48,Top,0
R39,80.15,13.51,Top,0
R40,84.47,13.46,Top,0
R50,45.15,71.96,Top,90
R51,27.98,71.98,Top,90
R57,36.59,71.98,Top,90
R58,53.78,71.98,Top,90
R59,90.94,24.59,Top,0
R60,90.94,13.77,Top,0
R1,42.38,21.74,Top,0
R3,42.38,19.46,Top,0
R61,58.89,74.12,Top,0
R66,40.93,55.07,Top,0
R67,40.93,52.48,Top,0
R68,40.93,47.75,Top,0
R69,40.93,45.21,Top,0
R70,2.35,45.82,Top,0
R71,2.40,42.34,Top,0
R72,2.40,38.84,Top,0
R73,2.32,35.26,Top,0
R7,76.19,31.76,Top,0
R54,35.65,37.69,Top,90
R63,41.29,15.37,Top,0
R9,34.02,84.51,Top,90
R10,34.02,91.76,Top,90
R13,16.61,91.81,Top,90
R14,16.56,84.56,Top,90
R35,88.41,56.89,Top,0
R36,88.36,41.65,Top,0
R37,88.47,49.96,Top,0
R38,88.47,34.77,Top,0
R48,45.12,67.03,Top,90
R49,28.03,67.03,Top,90
R55,36.59,67.08,Top,90
R56,53.73,67.03,Top,90
D17,12.23,45.87,Top,180
D18,12.20,42.34,Top,180
D19,12.20,38.86,Top,180
D20,12.23,35.36,Top,180
LED1,36.16,55.02,Top,0
LED2,36.18,52.45,Top,0
LED3,36.18,47.75,Top,0
LED4,36.16,45.24,Top,0
LED5,6.64,45.80,Top,180
LED6,6.64,42.32,Top,180
LED7,6.64,38.89,Top,180
LED8,6.62,35.33,Top,180
IC4,55.58,39.06,Top,0
IC1,79.62,55.63,Top,90
IC2,79.46,45.77,Top,90
IC6,45.20,8.74,Top,90
