Designator,Package,Value,Part Number,Package Met
C16,1206,10uf Tant,C7171,3216
C23,0805,22uf,C45783 ,
"C2,C4,C6,C8,C10,C24,C27,C29",0805,0.1uf,C49678,
"C1,C3,C5,C7,C9,C13,C15,C26,C28,C30",0805,"220nf, 0.22uf",C5378 ,
"C19,C25",0805,"10nf, 0.01uf",C1710 ,
"C11,C12,C20",0805,1uf,C28323,
C18,0805,470pf,C1743 ,
,,,,
"R11,R12,R15,R16,R21,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58,R59,R60",0805,1k,C17513,
"R9,R10,R13,R14,R35,R36,R37,R38,R48,R49,R55,R56",0805,100k,C17407 ,
"R2,R4,R6,R8,R22,R41,R64,R65",0805,470,C17710 ,
"R25,R27,R31,R32",0805,10,C17415,
R7,0805,3.9k,C17614,
R62,0805,120,C17437 ,
"R54,R63",0805,10k,C17414,
"R1,R3,R61,R66,R67,R68,R69,R70,R71,R72,R73",0805,2.49KOhms ±0.1%,C64467,
,,,,
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8",0805,RED LED,C84256,
,,,,
"D17,D18,D19,D20",DO214AC,,C95872,
IC6,SOIC16,ULN2003A,C7512,
,,,,
"IC1,IC2",SOIC8,TC4424,C44150,
,,,,
IC4,SOIC16,SP720,C434726,
