# Created by VisualPlace version 3.1.6179 at Fri Sep  4 00:41:06 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"

"C18","470pf","0.4985","1.1570","0.0","Top","0805","SMD"
"C19","10nf, 0.01uf","0.2035","1.2550","0.0","Top","0805","SMD"
"C25","10nf, 0.01uf","2.9025","0.5150","90.0","Top","0805","SMD"
"C2","0.1uf","1.9765","0.9910","90.0","Top","0805","SMD"
"C4","0.1uf","2.0809","0.9877","90.0","Top","0805","SMD"
"C6","0.1uf","2.3765","0.9910","90.0","Top","0805","SMD"
"C8","0.1uf","2.4775","1.2880","90.0","Top","0805","SMD"
"C10","0.1uf","2.9765","0.9900","90.0","Top","0805","SMD"
"C24","0.1uf","3.0025","0.5140","90.0","Top","0805","SMD"
"C27","0.1uf","2.4775","0.9910","90.0","Top","0805","SMD"
"C29","0.1uf","2.7785","0.9900","90.0","Top","0805","SMD"
"C1","220nf, 0.22uf","1.7775","0.9900","90.0","Top","0805","SMD"
"C3","220nf, 0.22uf","1.3935","0.7650","0.0","Top","0805","SMD"
"C5","220nf, 0.22uf","2.3185","0.7910","0.0","Top","0805","SMD"
"C7","220nf, 0.22uf","2.7645","1.2900","90.0","Top","0805","SMD"
"C9","220nf, 0.22uf","2.8015","0.5160","90.0","Top","0805","SMD"
"C13","220nf, 0.22uf","2.7025","3.5200","90.0","Top","0805","SMD"
"C15","220nf, 0.22uf","3.2645","3.3520","90.0","Top","0805","SMD"
"C26","220nf, 0.22uf","2.5365","0.7930","0.0","Top","0805","SMD"
"C28","220nf, 0.22uf","2.6775","0.7630","90.0","Top","0805","SMD"
"C30","220nf, 0.22uf","2.3185","2.8190","0.0","Top","0805","SMD"
"C11","1uf","2.7955","2.3170","0.0","Top","0805","SMD"
"C12","1uf","3.0305","1.6560","0.0","Top","0805","SMD"
"C20","1uf","0.2045","1.1560","0.0","Top","0805","SMD"
"C16","10uf Tant","3.2655","3.6110","270.0","Top","1206","SMD"
"C23","22uf","1.0775","1.3660","90.0","Top","0805","SMD"
"R25","10","1.7955","2.1647","0.0","Top","0805","SMD"
"R27","10","1.7934","2.0668","0.0","Top","0805","SMD"
"R31","10","1.7934","1.7793","0.0","Top","0805","SMD"
"R32","10","1.7934","1.8772","0.0","Top","0805","SMD"
"R62","120","1.2025","1.4840","90.0","Top","0805","SMD"
"R2","470","1.8785","0.9900","90.0","Top","0805","SMD"
"R4","470","2.1775","0.9890","90.0","Top","0805","SMD"
"R6","470","2.2788","0.9877","90.0","Top","0805","SMD"
"R8","470","2.6247","1.2502","0.0","Top","0805","SMD"
"R22","470","2.8768","0.9897","90.0","Top","0805","SMD"
"R41","470","0.4985","1.2530","0.0","Top","0805","SMD"
"R64","470","2.5765","0.9910","90.0","Top","0805","SMD"
"R65","470","2.6765","0.9900","90.0","Top","0805","SMD"
"R11","1k","1.2393","3.3272","90.0","Top","0805","SMD"
"R12","1k","1.2413","3.6127","90.0","Top","0805","SMD"
"R15","1k","0.5393","3.6127","90.0","Top","0805","SMD"
"R16","1k","0.5395","3.3260","90.0","Top","0805","SMD"
"R21","1k","2.8663","1.2918","90.0","Top","0805","SMD"
"R23","1k","3.4809","2.0543","0.0","Top","0805","SMD"
"R24","1k","3.4788","2.1543","0.0","Top","0805","SMD"
"R29","1k","3.4830","1.4543","0.0","Top","0805","SMD"
"R30","1k","3.4809","1.5543","0.0","Top","0805","SMD"
"R39","1k","3.1555","0.5320","0.0","Top","0805","SMD"
"R40","1k","3.3255","0.5300","0.0","Top","0805","SMD"
"R50","1k","1.7775","2.8330","90.0","Top","0805","SMD"
"R51","1k","1.1015","2.8340","90.0","Top","0805","SMD"
"R57","1k","1.4405","2.8340","90.0","Top","0805","SMD"
"R58","1k","2.1175","2.8340","90.0","Top","0805","SMD"
"R59","1k","3.5805","0.9680","0.0","Top","0805","SMD"
"R60","1k","3.5805","0.5420","0.0","Top","0805","SMD"
"R1","2.49kOhms ±0.1%","1.6685","0.8560","0.0","Top","0805","SMD"
"R3","2.49kOhms ±0.1%","1.6685","0.7660","0.0","Top","0805","SMD"
"R61","2.49kOhms ±0.1%","2.3185","2.9180","0.0","Top","0805","SMD"
