*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.9
*Date=19:02:46
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;0.22µF;0805 [SMD, multilayer];63.0397;-32.8627;-90;Top;C8
2;;;40.9956;-5.8168;0;Bottom;Copper Fill333
3;;;61.4522;-87.2278;0;Bottom;HC-05
4;;;65.8241;-13.8432;0;Bottom;Copper Fill474
5;;;55.0545;-50.9272;0;Bottom;Copper Fill94
6;;;25.0698;-34.7728;0;Bottom;Copper Fill46
7;;;40.1066;-32.5884;0;Bottom;Copper Fill297
8;;;38.3034;-84.785;-90;Bottom;TXT11
9;;;45.5771;-19.9178;0;Bottom;Via151
10;;;94.7928;-61.1888;0;Bottom;Copper Fill15
11;;;67.2846;-37.1223;0;Bottom;Copper Fill141
12;;;55.5498;-50.4319;0;Bottom;Copper Fill358
13;;;30.734;-19.3423;0;Bottom;Copper Fill73
14;;;27.5336;-66.1799;0;Bottom;Copper Fill447
15;;;97.2662;-95.1065;0;Bottom;TXT9
16;;THT;9.3822;-15.7903;0;Bottom;J144
17;;;21.1328;-49.7588;0;Bottom;Copper Fill24
18;;;73.4441;-65.2528;0;Bottom;Copper Fill416
19;;;65.3034;-10.1475;0;Bottom;Copper Fill519
20;;;45.4152;-23.4952;0;Bottom;Copper Fill318
21;;;94.7928;-40.8688;0;Bottom;Copper Fill276
22;;;84.8741;-59.5124;0;Bottom;Copper Fill406
23;;THT;4.3022;-15.7903;0;Bottom;J215
24;;;91.6686;-91.2243;0;Bottom;Copper Fill185
25;;;94.234;-29.8071;0;Bottom;Copper Fill373
26;1k;0805 [SMD];13.8272;-91.9177;-90;Top;R15
27;;;97.3772;-19.5801;-90;Bottom;TXT4
28;;;2.8956;-25.6288;0;Bottom;Copper Fill305
29;;;88.1126;-20.7012;0;Bottom;Copper Fill313
30;;;34.6456;-93.0023;0;Bottom;Copper Fill430
31;;;76.1492;-49.8223;0;Bottom;Copper Fill346
32;;;25.8953;-76.9114;0;Bottom;Copper Fill191
33;;;96.3041;-89.0272;0;Bottom;Copper Fill90
34;;;15.7321;-31.9828;0;Bottom;Via120
35;;;21.4249;-59.8172;0;Bottom;Copper Fill79
36;;;53.7601;-60.9314;0;Bottom;TXT11
37;;;68.5292;-93.0023;0;Bottom;Copper Fill536
38;;;2.0193;-17.577;0;Bottom;Copper Fill361
39;;;62.484;-19.9519;0;Bottom;Copper Fill392
40;;;81.1371;-66.2728;0;Bottom;Via53
41;;;23.3045;-65.0496;0;Bottom;Copper Fill496
42;2.2;0805 [SMD];41.0323;-52.6202;0;Top;R67
43;;;94.7928;-53.5688;0;Bottom;Copper Fill259
44;220;0805 [SMD];91.0522;-24.6802;180;Top;R59
45;;;2.0193;-18.5676;0;Bottom;Copper Fill100
46;;;33.6042;-6.9471;0;Bottom;Copper Fill120
47;;;94.7928;-58.6488;0;Bottom;Copper Fill18
48;;;30.9372;-65.9767;0;Bottom;Copper Fill178
49;5V;TO220 [THT];76.6287;-88.4978;90;Bottom;U1
50;;THT;14.4622;-15.7903;0;Bottom;J204
51;;;23.1902;-12.9923;0;Bottom;Copper Fill163
52;;;72.074;-38.8443;0;Bottom;TXT3
53;;;55.3593;-63.3224;0;Bottom;Copper Fill364
54;;;58.9121;-33.8878;0;Bottom;Via144
55;;;84.3788;-59.0171;0;Bottom;Copper Fill148
56;;;93.9038;-25.2732;0;Bottom;Copper Fill303
57;;;97.2053;-13.9095;-90;Bottom;TXT4
58;;;84.6296;-50.7153;0;Bottom;Via38
59;470;0805 [SMD];12.9472;-33.5702;0;Top;R41
60;;;63.9572;-93.6119;0;Bottom;Copper Fill547
61;;;34.6456;-85.6871;0;Bottom;Copper Fill426
62;;;81.5594;-66.3323;0;Bottom;Copper Fill89
63;;;90.424;-82.4867;0;Bottom;Copper Fill340
64;;;60.452;-71.7171;0;Bottom;Copper Fill470
65;;;94.7928;-38.3288;0;Bottom;Copper Fill281
66;;;93.4593;-33.7314;0;Bottom;Copper Fill192
67;;;67.8434;-37.8208;0;Bottom;Copper Fill37
68;;;71.0438;-69.2914;0;Bottom;Copper Fill244
69;;;94.7896;-29.7603;0;Bottom;Via134
70;;;33.7816;-31.0489;0;Bottom;TXT4
71;;;60.452;-36.0555;0;Bottom;Copper Fill462
72;;THT;4.3022;-20.8703;0;Bottom;J213
73;;;2.25666;-5.35955;-90;Bottom;TXT11
74;;;36.0521;-90.7203;0;Bottom;Via97
75;;;41.8846;-33.0075;0;Bottom;Copper Fill131
76;;;72.5424;-78.537;0;Bottom;Copper Fill221
77;;;87.884;-45.6694;0;Bottom;Copper Fill16
78;;;73.9394;-64.7575;0;Bottom;Copper Fill159
79;;;44.704;-7.6075;0;Bottom;Copper Fill124
80;;;90.9193;-83.0074;0;Bottom;Copper Fill339
81;;;85.3694;-59.0171;0;Bottom;Copper Fill408
82;;;55.8546;-62.8271;0;Bottom;Copper Fill367
83;;;73.9394;-64.7575;0;Bottom;Copper Fill417
84;;THT;6.8422;-25.9503;90;Bottom;J208
85;;;72.8345;-34.4426;0;Bottom;Copper Fill520
86;;;94.7293;-30.3024;0;Bottom;Copper Fill371
87;;;14.4621;-75.7978;0;Bottom;Via165
88;1µF;0805 [SMD, multilayer];6.13462;-31.0302;180;Top;C20
89;;;97.3772;-8.68404;-90;Bottom;TXT4
90;100nF;0805 [SMD, multilayer];75.7397;-16.8152;90;Top;C24
91;10;0805 [SMD];45.6497;-52.6202;0;Top;R27
92;;;62.6344;-45.409;0;Bottom;TXT11
93;;;18.923;-35.8523;0;Bottom;Copper Fill196
94;;;34.671;-47.8919;0;Bottom;Copper Fill467
95;;;97.7138;-43.4088;0;Bottom;Copper Fill270
96;;THT;11.9222;-10.7103;0;Bottom;J171
97;470;0805 [SMD];57.9597;-25.2427;-90;Top;R6
98;;;70.2945;-34.4426;0;Bottom;Copper Fill532
99;;;83.3596;-40.2378;0;Bottom;Via162
100;;;34.671;-55.2071;0;Bottom;Copper Fill463
101;;;21.1328;-52.2988;0;Bottom;Copper Fill22
102;;;39.4716;-30.2516;0;Bottom;Copper Fill38
103;;;86.4997;-93.1928;0;Bottom;Copper Fill541
104;;THT;11.9222;-20.8703;0;Bottom;J174
105;;;36.6649;-65.6592;0;Bottom;Copper Fill450
106;;;44.2341;-81.712;0;Bottom;Copper Fill115
107;;;18.923;-33.3123;0;Bottom;Copper Fill215
108;;;66.9553;-7.7584;0;Bottom;TXT4
109;;;62.4332;-33.9219;0;Bottom;Copper Fill511
110;;;69.8754;-81.7247;0;Bottom;Copper Fill531
111;2.2;0805 [SMD];2.46969;-44.3652;0;Top;R71
112;;;6.7945;-4.8008;0;Bottom;Copper Fill187
113;;;34.1249;-6.4772;0;Bottom;Copper Fill378
114;;;21.1328;-21.8188;0;Bottom;Copper Fill62
115;;;16.3576;-42.6722;0;Bottom;Copper Fill272
116;47µF;200 mil [THT, tantalum];69.3897;-90.4028;90;Bottom;C14
117;;THT;80.5022;-10.7103;-90;Bottom;JP4
