*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.9
*Date=20:38:08
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;47.7997;-81.1953;90;Bottom;JP7
2;;THT;4.3022;-18.3303;0;Bottom;J210
3;;;3.4798;-64.3638;0;Bottom;Copper Fill267
4;;;84.9471;-58.9703;0;Bottom;Via161
5;;;14.3764;-64.3384;0;Bottom;Copper Fill23
6;;0805 [SMD];36.2698;-52.6203;0;Top;LED2
7;;;6.83033;-6.1035;0;Bottom;TXT11
8;100nF;0805 [SMD, multilayer];76.3747;-13.1777;90;Top;C24
9;;;76.0571;-82.4653;0;Bottom;Via141
10;;;35.1917;-48.438;0;Bottom;Copper Fill497
11;;TO220 [THT];24.8762;-68.4953;90;Bottom;Q8
12;;;94.7928;-73.8888;0;Bottom;Copper Fill17
13;;;52.5621;-39.2853;0;Bottom;Via143
14;;;8.011;-4.89977;0;Bottom;TXT4
15;;;73.5171;-64.6853;0;Bottom;Via8
16;;;21.1328;-47.2188;0;Bottom;Copper Fill40
17;;;4.2545;-84.6076;0;Bottom;Copper Fill520
18;;;49.9872;-52.8068;0;Bottom;Copper Fill98
19;;;64.3128;-28.3466;0;Bottom;Copper Fill71
20;;;29.5148;-18.0723;0;Bottom;Copper Fill424
21;;;54.3941;-93.4468;0;Bottom;Copper Fill191
22;;;21.1328;-29.4388;0;Bottom;Copper Fill62
23;;;89.9922;-50.1271;0;Bottom;Copper Fill472
24;;;81.1371;-66.2728;0;Bottom;Via53
25;;;44.4246;-35.8523;0;Bottom;Copper Fill141
26;;;51.1048;-15.2656;0;Bottom;Copper Fill94
27;;;2.8448;-80.6071;0;Bottom;Copper Fill429
28;;THT;9.3822;-20.8703;0;Bottom;J172
29;;THT;9.3822;-18.3303;0;Bottom;J169
30;;;6.3373;-28.9562;0;Bottom;Copper Fill556
31;;;94.7928;-71.3488;0;Bottom;Copper Fill269
32;;;33.3248;-12.3827;0;Bottom;Copper Fill154
33;;;23.5712;-21.8188;0;Bottom;Copper Fill82
34;;;60.1345;-35.3824;0;Bottom;Copper Fill492
35;;;74.8792;-50.1271;0;Bottom;Copper Fill364
36;;;61.1955;-44.5499;0;Bottom;TXT3
37;;;2.3749;-80.1372;0;Bottom;Copper Fill171
38;47µF;200 mil [THT, tantalum];64.9447;-88.4978;90;Bottom;C14
39;;;81.0641;-65.837;0;Bottom;Copper Fill117
40;;;73.4441;-65.2528;0;Bottom;Copper Fill450
41;;;73.7997;-11.7096;0;Bottom;Copper Fill488
42;;;47.7996;-29.4428;0;Bottom;Via81
43;;;94.7928;-66.2688;0;Bottom;Copper Fill274
44;;;89.9922;-57.1375;0;Bottom;Copper Fill455
45;120;0805 [SMD];31.5346;-31.6652;180;Top;R62
46;;;49.0093;-65.0496;0;Bottom;Copper Fill217
47;;;76.4794;-82.4867;0;Bottom;Copper Fill137
48;;;22.0821;-75.4803;0;Bottom;Via130
49;;THT;95.1072;-11.3453;180;Bottom;JP3
50;;;68.6054;-18.5803;0;Bottom;Copper Fill505
51;;;5.3848;-37.2366;0;Bottom;Copper Fill311
52;;;76.2762;-31.7248;0;Bottom;Copper Fill54
53;;;54.3941;-93.4468;0;Bottom;Copper Fill443
54;;;89.6366;-38.3288;0;Bottom;Copper Fill309
55;;;54.3052;-66.1799;0;Bottom;Copper Fill485
56;;;64.9097;-90.2972;0;Bottom;Copper Fill246
57;;;2.3749;-81.1024;0;Bottom;Copper Fill170
58;;;94.7928;-58.6488;0;Bottom;Copper Fill31
59;;;57.8993;-12.8526;0;Bottom;Copper Fill393
60;;;50.2793;-23.7492;0;Bottom;Copper Fill547
61;;;50.1904;-48.057;0;Bottom;Copper Fill283
62;;;51.3588;-19.3423;0;Bottom;Copper Fill106
63;;;40.4368;-19.5836;0;Bottom;Copper Fill85
64;0.22µF;0805 [SMD, multilayer];73.1997;-25.2427;-90;Top;C10
