*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.1b
*Date=23:32:57
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;94.2086;-90.1067;0;Bottom;Copper Fill177
2;;;22.3393;-59.5124;0;Bottom;Copper Fill379
3;;TO220 [THT];24.6222;-91.2737;180;Bottom;Q3
4;1k;0805 [SMD];13.8272;-84.6152;-90;Top;R16
5;1k;0805 [SMD];59.4746;-80.2427;0;Top;R77
6;;;18.6944;-16.688;0;Bottom;Copper Fill73
7;;;85.725;-45.1614;0;Bottom;Copper Fill264
8;;;72.9488;-64.7575;0;Bottom;Copper Fill152
9;;;17.4244;-72.9871;0;Bottom;Copper Fill526
10;;;34.671;-47.8919;0;Bottom;Copper Fill441
11;;;65.5828;-30.9374;0;Bottom;Copper Fill44
12;2.2;0805 [SMD];41.0323;-47.8578;0;Top;R68
13;;;26.6192;-7.9123;0;Bottom;Copper Fill128
14;;;15.5448;-25.6923;0;Bottom;Copper Fill504
15;;;36.0521;-90.7203;0;Bottom;Via97
16;;;86.6902;-13.0812;0;Bottom;Copper Fill316
17;100k;0805 [SMD];36.6872;-67.1527;-90;Top;R55
18;;;43.434;-35.8523;0;Bottom;Copper Fill351
19;;;70.2945;-8.4076;0;Bottom;Copper Fill149
20;;;76.7588;-24.9176;0;Bottom;Copper Fill297
21;;THT;6.5247;-18.9653;0;Bottom;J213
22;;;13.8684;-51.8162;0;Bottom;Copper Fill253
23;;;80.8586;-69.0894;90;Bottom;DRV8825
24;;;77.5716;-27.1782;0;Bottom;Copper Fill59
25;;;65.5828;-24.943;0;Bottom;Copper Fill296
26;;;39.9288;-76.6828;0;Bottom;Copper Fill229
27;;;37.3888;-76.6828;0;Bottom;Copper Fill228
28;;;94.7928;-76.4288;0;Bottom;Copper Fill7
29;;;16.6497;-86.2078;0;Bottom;Copper Fill413
30;;;17.1704;-85.6871;0;Bottom;Copper Fill414
31;;;57.8636;-53.7996;0;Bottom;TXT11
32;;;69.042;-73.6656;0;Bottom;TXT1
33;;;89.9922;-50.1271;0;Bottom;Copper Fill421
34;;;95.3389;-91.2878;0;Bottom;Copper Fill176
35;1k;0805 [SMD];45.2597;-72.0602;90;Top;R50
36;;;35.1917;-52.1464;0;Bottom;Copper Fill438
37;;;95.5294;-16.4975;0;Bottom;Copper Fill115
38;;;2.3749;-14.0972;0;Bottom;Copper Fill123
39;;THT;6.5247;-16.4253;0;Bottom;J210
40;;;28.1146;-46.2703;0;Bottom;Via193
41;;;16.002;-13.1574;0;Bottom;Copper Fill308
42;;;89.3921;-32.6178;0;Bottom;Via200
43;;THT;11.6047;-6.26525;0;Bottom;J183
44;;;49.9872;-61.2396;0;Bottom;Copper Fill29
45;;;66.4845;-36.0428;0;Bottom;Copper Fill353
46;;;21.1328;-20.5488;0;Bottom;Copper Fill68
47;;;41.161;-89.7492;-90;Bottom;TXT11
48;;;94.7928;-48.4888;0;Bottom;Copper Fill263
49;;;27.686;-18.3136;0;Bottom;Copper Fill71
50;;THT;11.6047;-13.8853;0;Bottom;J144
51;;;42.6593;-28.6514;0;Bottom;Copper Fill485
52;;;81.1371;-66.2728;0;Bottom;Via53
53;;;22.8346;-59.0171;0;Bottom;Copper Fill380
54;;;2.3749;-80.1372;0;Bottom;Copper Fill119
55;;THT;9.0647;-18.9653;0;Bottom;J180
56;470;0805 [SMD];57.9597;-25.2427;-90;Top;R6
57;;;50.2793;-23.7492;0;Bottom;Copper Fill493
58;;;29.972;-29.0832;0;Bottom;Copper Fill292
59;;;77.2541;-93.8024;0;Bottom;Copper Fill138
60;100k;0805 [SMD];34.1472;-84.6152;-90;Top;R9
61;;;88.0872;-14.6052;0;Bottom;Copper Fill313
62;;;41.161;-84.7849;-90;Bottom;TXT11
63;;THT;14.1447;-6.26525;0;Bottom;J124
64;;;65.5205;-48.4204;0;Bottom;TXT11
65;;;17.4244;-72.9871;0;Bottom;Copper Fill212
66;;;59.9313;-71.1964;0;Bottom;Copper Fill443
67;;;60.5028;-30.6326;0;Bottom;Copper Fill46
68;;;5.3086;-77.775;0;Bottom;Copper Fill227
69;;;76.5302;-76.5812;0;Bottom;Copper Fill5
70;;THT;34.222;-35.4753;90;Bottom;JP6
71;;;84.5693;-23.9016;0;Bottom;Copper Fill167
72;;;65.3288;-93.3071;0;Bottom;Copper Fill393
73;;;15.0749;-25.197;0;Bottom;Copper Fill201
74;220;0805 [SMD];68.1197;-25.2427;-90;Top;R65
75;;;77.2541;-93.8024;0;Bottom;Copper Fill388
76;;;21.082;-92.8499;0;Bottom;Copper Fill462
77;;THT;10.3347;-8.80525;90;Bottom;J110
78;;;67.4497;-57.8614;0;Bottom;Copper Fill402
79;;;15.0971;-25.6328;0;Bottom;Via72
80;;;0.802605;-63.9531;-90;Bottom;MPX4250AP1
81;;;66.9544;-35.5475;0;Bottom;Copper Fill108
82;;;16.8148;-37.2874;0;Bottom;Copper Fill280
83;;;21.1328;-40.8688;0;Bottom;Copper Fill276
84;10;0805 [SMD];45.6497;-55.1602;180;Top;R25
85;;;76.2762;-31.7248;0;Bottom;Copper Fill41
86;;;97.2484;-81.0936;0;Bottom;TXT8
87;;;69.7484;-33.9219;0;Bottom;Copper Fill513
88;;;66.7893;-88.2398;0;Bottom;Copper Fill528
89;;;65.8971;-93.2603;0;Bottom;Via195
90;;;94.7928;-58.6488;0;Bottom;Copper Fill19
91;;;43.0276;-7.6075;0;Bottom;Copper Fill183
92;;;51.3588;-19.3423;0;Bottom;Copper Fill331
93;;;61.341;-75.997;0;Bottom;Copper Fill232
94;;;2.8448;-14.5671;0;Bottom;Copper Fill125
95;;;8.4296;-48.4928;0;Bottom;Via164
96;;;57.1754;-84.8743;0;Bottom;Copper Fill456
97;;;88.1221;-31.6653;0;Bottom;Via173
98;;;73.3552;-33.9219;0;Bottom;Copper Fill497
99;;;47.7393;-29.007;0;Bottom;Copper Fill342
100;;;26.6192;-7.9123;0;Bottom;Copper Fill377
101;;;66.4845;-36.0428;0;Bottom;Copper Fill106
