*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.2a
*Date=21:17:34
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;47.4821;-20.6538;0;Bottom;Via125
2;1k;0805 [SMD];88.0496;-53.3563;180;Top;R23
3;;THT;56.6897;-81.9313;90;Bottom;J114
4;;;50.6476;-19.9646;0;Bottom;Copper Fill51
5;;;71.0692;-81.9787;0;Bottom;Copper Fill349
6;;;81.0641;-37.9986;0;Bottom;Copper Fill369
7;;;79.3242;-92.0879;0;Bottom;Copper Fill420
8;;;59.9313;-13.8178;0;Bottom;Copper Fill426
9;;SO16 [SMD];9.4838;-19.7127;90;Top;IC6
10;;;71.5645;-82.474;0;Bottom;Copper Fill348
11;;;53.8988;-53.4291;0;Bottom;Copper Fill87
12;;;65.2272;-93.1039;0;Bottom;Copper Fill548
13;;;88.7984;-40.437;0;Bottom;Copper Fill271
14;;THT;49.0697;-81.9313;90;Bottom;J201
15;;;22.0345;-84.4044;0;Bottom;Copper Fill478
16;;;40.4876;-92.1387;0;Bottom;Copper Fill211
17;;;41.5798;-22.2887;0;Bottom;Copper Fill133
18;;;22.0345;-93.5484;0;Bottom;Copper Fill177
19;;;66.1797;-92.1768;0;Bottom;Copper Fill217
20;;;32.5596;-55.8963;0;Bottom;Via131
21;100k;0805 [SMD];16.6847;-91.7012;-90;Top;R13
22;;;78.2193;-84.2012;0;Bottom;Copper Fill414
23;;;88.3793;-47.8792;0;Bottom;Copper Fill334
24;;;17.1704;-85.4839;0;Bottom;Copper Fill434
25;;DIP (Dual Inline) [THT];80.1847;-40.0213;180;Bottom;IC2
26;;;81.5594;-66.0783;0;Bottom;Copper Fill347
27;;TO220 [THT];6.8422;-91.0572;180;Bottom;Q2
28;;;59.1693;-18.3136;0;Bottom;Copper Fill382
29;0.1µF;0805 [SMD, multilayer];55.4197;-13.2787;-90;Top;C3
30;;;62.0014;-55.0166;0;Bottom;Copper Fill252
31;;;14.351;-61.6206;0;Bottom;Copper Fill14
32;;;51.5493;-18.3136;0;Bottom;Copper Fill323
33;;;32.8549;-34.214;0;Bottom;Copper Fill364
34;;;73.1393;-34.2394;0;Bottom;Copper Fill529
35;;;49.0093;-64.8464;0;Bottom;Copper Fill189
36;;;73.9394;-64.5035;0;Bottom;Copper Fill412
37;5V;TO220 [THT];78.2797;-84.7253;0;Bottom;U1
38;;;94.7928;-68.6056;0;Bottom;Copper Fill9
39;;;78.4098;-92.0879;0;Bottom;Copper Fill419
40;;;61.7093;-53.9752;0;Bottom;Copper Fill460
41;;;2.0193;-81.204;0;Bottom;Copper Fill359
42;;;71.2946;-47.0063;0;Bottom;Via101
43;;;62.9793;-87.1984;0;Bottom;Copper Fill163
44;;;93.8784;-90.2083;0;Bottom;Copper Fill195
45;;;46.7741;-42.1896;0;Bottom;Copper Fill505
46;;THT;46.5297;-89.5513;90;Bottom;J189
