# Created by VisualPlace version 3.1.6179 at Wed Sep 30 21:07:21 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"

"C18","470pF","0.3415","1.5820","90.0","Top","0805","SMD"
"C19","0.01uF","0.5385","2.0950","0.0","Top","0805","SMD"
"C25","0.01uF","2.8405","0.6180","90.0","Top","0805","SMD"
"C2","0.1uF / 100nF","1.9775","0.9380","90.0","Top","0805","SMD"
"C4","0.1uF / 100nF","2.0765","0.9370","90.0","Top","0805","SMD"
"C6","0.1uF / 100nF","2.3785","0.9370","90.0","Top","0805","SMD"
"C8","0.1uF / 100nF","2.3785","1.2810","90.0","Top","0805","SMD"
"C10","0.1uF / 100nF","2.6175","0.9100","0.0","Top","0805","SMD"
"C24","0.1uF / 100nF","2.9515","0.6160","90.0","Top","0805","SMD"
"C1","0.22uF","1.7785","0.9360","90.0","Top","0805","SMD"
"C3","0.22uF","2.1775","0.5170","90.0","Top","0805","SMD"
"C5","0.22uF","2.3195","0.5600","0.0","Top","0805","SMD"
"C7","0.22uF","2.7665","1.2820","90.0","Top","0805","SMD"
"C9","0.22uF","2.6185","0.7570","0.0","Top","0805","SMD"
"C13","0.22uF","2.7295","3.4750","90.0","Top","0805","SMD"
"C15","0.22uF","3.2415","3.5500","90.0","Top","0805","SMD"
"C30","0.22uF","2.2775","2.8320","90.0","Top","0805","SMD"
"C11","1uF","2.4705","2.4200","0.0","Top","0805","SMD"
"C12","1uF","3.1245","1.3060","0.0","Top","0805","SMD"
"C20","1uF","0.5385","1.9930","0.0","Top","0805","SMD"
"C16","TAJA106K016RnJ","3.1015","3.5640","270.0","Top","1206","SMD"
"R25","10","2.8555","2.2970","0.0","Top","0805","SMD"
"R27","10","2.8545","2.0960","0.0","Top","0805","SMD"
"R31","10","2.8545","1.5210","0.0","Top","0805","SMD"
"R32","10","2.8545","1.7080","0.0","Top","0805","SMD"
"R54","56","1.3305","1.0060","0.0","Top","0805","SMD"
"R2","470","1.8765","0.9370","90.0","Top","0805","SMD"
"R4","470","2.1775","0.9370","90.0","Top","0805","SMD"
"R6","470","2.2775","0.9360","90.0","Top","0805","SMD"
"R8","470","2.6245","1.2390","0.0","Top","0805","SMD"
"R22","470","2.7785","0.8750","90.0","Top","0805","SMD"
"R41","470","0.3405","1.7680","90.0","Top","0805","SMD"
"R11","1k","1.2442","3.3178","90.0","Top","0805","SMD"
"R12","1k","1.2415","3.6080","90.0","Top","0805","SMD"
"R15","1k","0.5405","3.6060","90.0","Top","0805","SMD"
"R16","1k","0.5438","3.3202","90.0","Top","0805","SMD"
"R21","1k","2.8755","1.2810","90.0","Top","0805","SMD"
"R23","1k","3.4605","2.0940","0.0","Top","0805","SMD"
"R24","1k","3.4615","2.1950","0.0","Top","0805","SMD"
"R29","1k","3.4675","1.5190","0.0","Top","0805","SMD"
"R30","1k","3.4675","1.6210","0.0","Top","0805","SMD"
"R39","1k","3.0875","0.4580","0.0","Top","0805","SMD"
"R40","1k","3.2815","0.4560","0.0","Top","0805","SMD"
"R50","1k","1.7775","2.8240","90.0","Top","0805","SMD"
"R51","1k","1.1025","2.8240","90.0","Top","0805","SMD"
"R57","1k","1.4405","2.8240","90.0","Top","0805","SMD"
"R58","1k","2.1165","2.8220","90.0","Top","0805","SMD"
"R59","1k","3.5915","0.9580","90.0","Top","0805","SMD"
"R60","1k","3.5885","0.5580","90.0","Top","0805","SMD"
"R1","2.49k","1.8185","0.7190","0.0","Top","0805","SMD"
"R3","2.49k","1.8985","0.5560","0.0","Top","0805","SMD"
"R61","2.49k","2.5275","3.2350","90.0","Top","0805","SMD"
"R66","2.49k","2.6555","2.2930","0.0","Top","0805","SMD"
"R67","2.49k","2.6565","2.0930","0.0","Top","0805","SMD"
"R68","2.49k","2.6555","1.7070","0.0","Top","0805","SMD"
"R69","2.49k","2.6555","1.5190","0.0","Top","0805","SMD"
"R7","3.9k","3.4265","1.2420","0.0","Top","0805","SMD"
"R63","10k","0.4505","0.4440","0.0","Top","0805","SMD"
"R9","100k","1.3405","3.3180","90.0","Top","0805","SMD"
"R10","100k","1.3425","3.6070","90.0","Top","0805","SMD"
"R13","100k","0.6525","3.6050","90.0","Top","0805","SMD"
"R14","100k","0.6525","3.3180","90.0","Top","0805","SMD"
"R35","100k","3.4645","2.2950","0.0","Top","0805","SMD"
"R36","100k","3.4695","1.7200","0.0","Top","0805","SMD"
"R37","100k","3.4625","1.9940","0.0","Top","0805","SMD"
"R38","100k","3.4685","1.4190","0.0","Top","0805","SMD"
"R48","100k","1.7765","2.6310","90.0","Top","0805","SMD"
"R49","100k","1.1015","2.6300","90.0","Top","0805","SMD"
"R55","100k","1.4415","2.6310","90.0","Top","0805","SMD"
"R56","100k","2.1145","2.6320","90.0","Top","0805","SMD"
"LED1","FC-2012HRK-620D","2.4695","2.2930","0.0","Top","0805","SMD"
"LED2","FC-2012HRK-620D","2.4685","2.0960","0.0","Top","0805","SMD"
"LED3","FC-2012HRK-620D","2.4695","1.7080","0.0","Top","0805","SMD"
"LED4","FC-2012HRK-620D","2.4695","1.5210","0.0","Top","0805","SMD"
"IC6","ULN2003A","0.3685","0.7730","270.0","Top","SOIC16","SMD"
