Designator,mid x,mid y,Rotation,layer
C18,8.24,26.80,0,Top
C19,5.17,31.88,0,Top
C25,73.72,13.08,90,Top
C2,50.20,25.17,90,Top
C4,52.79,25.12,90,Top
C6,60.36,25.17,90,Top
C8,62.93,32.72,90,Top
C10,73.11,25.12,90,Top
C24,76.26,13.06,90,Top
C27,62.93,25.17,90,Top
C29,70.57,25.15,90,Top
C1,45.15,25.15,90,Top
C3,35.39,19.43,0,Top
C5,57.92,20.09,0,Top
C7,70.22,32.77,90,Top
C9,71.16,13.11,90,Top
C13,66.74,86.54,90,Top
C15,81.32,89.46,90,Top
C26,64.43,20.14,0,Top
C28,68.01,19.38,90,Top
C30,58.89,71.60,0,Top
C31,13.65,29.64,0,Top
C11,68.44,58.19,0,Top
C12,76.97,42.06,0,Top
C20,5.19,29.36,0,Top
C16,84.54,89.76,270,Top
R25,45.61,54.98,0,Top
R27,45.55,52.50,0,Top
R31,45.55,45.19,0,Top
R32,45.55,47.68,0,Top
R62,31.43,32.51,0,Top
R2,47.71,25.15,90,Top
R4,55.31,25.12,90,Top
R6,57.88,25.09,90,Top
R8,66.67,31.76,0,Top
R22,75.60,25.15,90,Top
R41,13.68,31.85,0,Top
R64,65.44,25.17,90,Top
R65,67.98,25.15,90,Top
R11,31.48,84.51,90,Top
R12,31.53,91.76,90,Top
R15,13.70,91.76,90,Top
R16,13.70,84.48,90,Top
R21,72.80,32.81,90,Top
R23,88.41,52.18,0,Top
R24,88.36,54.72,0,Top
R29,88.47,36.94,0,Top
R30,88.41,39.48,0,Top
R39,80.15,13.51,0,Top
R40,84.47,13.46,0,Top
R50,45.15,71.96,90,Top
R51,27.98,71.98,90,Top
R57,36.59,71.98,90,Top
R58,53.78,71.98,90,Top
R59,89.57,25.17,90,Top
R60,89.60,14.96,90,Top
R75,49.73,9.90,0,Top
R77,59.42,80.12,0,Top
R78,56.63,83.72,270,Top
R1,42.38,21.74,0,Top
R3,42.38,19.46,0,Top
R61,58.89,74.12,0,Top
R66,40.93,55.07,0,Top
R67,40.93,52.48,0,Top
R68,40.93,47.75,0,Top
R69,40.93,45.21,0,Top
R70,2.35,45.82,0,Top
R71,2.40,42.34,0,Top
R72,2.40,38.84,0,Top
R73,2.32,35.26,0,Top
R7,76.19,31.76,0,Top
R63,55.36,13.79,0,Top
R76,8.25,24.29,0,Top
R9,34.02,84.51,90,Top
R10,34.02,91.76,90,Top
R13,16.61,91.81,90,Top
R14,16.56,84.56,90,Top
R35,88.41,56.89,0,Top
R36,88.36,41.65,0,Top
R37,88.47,49.96,0,Top
R38,88.47,34.77,0,Top
R48,45.12,67.03,90,Top
R49,28.03,67.03,90,Top
R55,36.59,67.08,90,Top
R56,53.73,67.03,90,Top
D15,82.51,85.24,0,Top
D17,12.23,45.87,180,Top
D18,12.20,42.34,180,Top
D19,12.20,38.86,180,Top
D20,12.23,35.36,180,Top
D54,49.75,85.88,0,Top
LED1,36.16,55.02,0,Top
LED2,36.18,52.45,0,Top
LED3,36.18,47.75,0,Top
LED4,36.16,45.24,0,Top
LED5,6.64,45.80,180,Top
LED6,6.64,42.32,180,Top
LED7,6.64,38.89,180,Top
LED8,6.62,35.33,180,Top
IC4,55.59,38.02,0,Top
IC1,79.62,55.63,90,Top
IC2,79.46,45.77,90,Top
IC6,61.76,9.32,90,Top
