Designator,mid x,mid y,Rotation,layer
C18,8.24,27.03,0,Top
C19,5.22,32.08,0,Top
C25,73.70,13.36,90,Top
C2,50.28,25.40,90,Top
C4,52.74,25.43,90,Top
C6,60.39,25.37,90,Top
C8,62.93,33.02,90,Top
C10,73.11,25.43,90,Top
C24,76.29,13.39,90,Top
C27,62.93,25.37,90,Top
C29,70.52,25.37,90,Top
C1,45.17,25.40,90,Top
C3,35.39,19.76,0,Top
C5,57.92,20.40,0,Top
C7,70.24,33.05,90,Top
C9,71.16,13.36,90,Top
C13,66.74,86.82,90,Top
C15,81.34,89.66,90,Top
C26,64.43,20.37,0,Top
C28,68.01,19.71,90,Top
C30,61.71,71.81,0,Top
C31,13.65,29.92,0,Top
C11,62.34,61.37,0,Top
C12,76.97,42.29,0,Top
C20,5.22,29.54,0,Top
C16,84.52,90.04,270,Top
C14,62.91,84.67,270,Top
R25,69.84,55.30,0,Top
R27,69.84,52.78,0,Top
R31,69.86,45.44,0,Top
R32,69.84,47.96,0,Top
R62,31.43,32.82,0,Top
R2,47.71,25.40,90,Top
R4,55.31,25.37,90,Top
R6,57.82,25.40,90,Top
R8,66.69,32.11,0,Top
R22,75.60,25.40,90,Top
R41,13.68,32.13,0,Top
R64,65.47,25.40,90,Top
R65,68.06,25.40,90,Top
R11,31.51,84.79,90,Top
R12,31.48,92.07,90,Top
R15,13.70,92.07,90,Top
R16,13.73,84.79,90,Top
R21,72.78,33.05,90,Top
R23,88.43,52.40,0,Top
R24,88.40,54.99,0,Top
R29,88.40,37.16,0,Top
R30,88.40,39.75,0,Top
R39,80.12,13.74,0,Top
R40,84.47,13.74,0,Top
R50,49.26,73.18,90,Top
R51,32.12,73.20,90,Top
R57,40.68,73.20,90,Top
R58,57.90,73.23,90,Top
R59,89.60,25.43,90,Top
R60,89.60,15.24,90,Top
R75,49.70,10.24,0,Top
R77,59.37,80.31,0,Top
R78,56.58,83.97,270,Top
R1,42.38,21.95,0,Top
R3,42.35,19.76,0,Top
R61,61.76,74.37,0,Top
R66,65.27,55.30,0,Top
R67,65.21,52.76,0,Top
R68,65.27,47.98,0,Top
R69,65.24,45.44,0,Top
R70,2.37,46.08,0,Top
R71,2.32,42.62,0,Top
R72,2.32,39.09,0,Top
R73,2.35,35.64,0,Top
R7,76.19,32.05,0,Top
R63,55.38,14.07,0,Top
R76,8.27,24.51,0,Top
R9,34.07,84.81,90,Top
R10,34.02,92.10,90,Top
R13,16.57,92.07,90,Top
R14,16.55,84.76,90,Top
R35,88.40,57.25,0,Top
R36,88.40,41.99,0,Top
R37,88.40,50.22,0,Top
R38,88.43,34.92,0,Top
R48,49.26,68.28,90,Top
R49,32.17,68.28,90,Top
R55,40.70,68.25,90,Top
R56,57.82,68.28,90,Top
D15,82.46,85.55,0,Top
D17,12.36,46.05,180,Top
D18,12.31,42.60,180,Top
D19,12.31,39.09,180,Top
D20,12.28,35.64,180,Top
D54,49.77,86.16,0,Top
LED1,60.49,55.35,0,Top
LED2,60.49,52.76,0,Top
LED3,60.49,48.01,0,Top
LED4,60.46,45.39,0,Top
LED5,6.62,46.10,180,Top
LED6,6.69,42.57,180,Top
LED7,6.64,39.04,180,Top
LED8,6.64,35.64,180,Top
IC4,55.61,38.33,0,Top
IC1,79.44,55.96,90,Top
IC2,79.46,46.08,90,Top
IC6,61.73,9.60,90,Top
