*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.6c (gnd)
*Date=21:38:02
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.3749;-81.3564;0;Bottom;Copper Fill369
2;;;75.3745;-50.8764;0;Bottom;Copper Fill338
3;;TO220 [THT];24.6222;-91.5443;180;Bottom;Q3
4;;;22.5298;-12.9542;0;Bottom;Copper Fill318
5;;;61.6458;-30.8866;0;Bottom;Copper Fill301
6;2.49k;0805 [SMD];61.8422;-74.4809;0;Top;R61
7;;;69.2036;-64.1111;0;Bottom;TXT1
8;;;1.8542;-80.8611;0;Bottom;Copper Fill119
9;220;0805 [SMD];65.5797;-25.5134;-90;Top;R64
10;;;66.9544;-35.8015;0;Bottom;Copper Fill108
11;;;28.7496;-31.3009;0;Bottom;Via149
12;;THT;15.0972;-13.2034;0;Bottom;J173
13;;THT;4.9372;-13.2034;0;Bottom;J224
14;1k;0805 [SMD];59.4746;-80.5134;0;Top;R77
15;;;27.4193;-25.832;0;Bottom;Copper Fill224
16;;;88.011;-91.5291;0;Bottom;Copper Fill533
17;;;80.8736;-90.8687;0;Bottom;Copper Fill528
18;;;63.4492;-86.1951;0;Bottom;Copper Fill524
19;;;26.7462;-18.6184;0;Bottom;Copper Fill75
20;;;10.0838;-54.5594;0;Bottom;Copper Fill21
21;;;69.042;-73.9362;0;Bottom;TXT1
22;;;54.1274;-28.626;0;Bottom;Copper Fill56
23;;;30.734;-13.6019;0;Bottom;Copper Fill388
24;;;68.7546;-14.156;0;Bottom;Via205
25;;;4.2545;-84.8616;0;Bottom;Copper Fill479
26;0.22µF;0805 [SMD, multilayer];63.0397;-33.1334;-90;Top;C8
27;;;60.4393;-24.0286;0;Bottom;Copper Fill453
28;0.22µF;0805 [SMD, multilayer];73.1997;-25.5134;-90;Top;C10
29;;;72.9488;-65.0115;0;Bottom;Copper Fill167
30;;;70.7898;-8.1663;0;Bottom;Copper Fill408
31;;;66.4845;-35.3062;0;Bottom;Copper Fill353
32;;THT;15.0972;-15.7434;0;Bottom;J176
33;;;74.8792;-50.3811;0;Bottom;Copper Fill339
34;;THT;37.6397;-8.1234;0;Bottom;J124
