Quantity,Designator,Package,Value,Part Number (JLCPCB),Manufacture PN,DigiKey
1,C16,1206,10uf Tant,C7171,,
8,"C2,C4,C6,C8,C10,C24,C27,C29",0805,0.1uF / 100nF,C49678,,
10,"C1,C3,C5,C7,C9,C13,C15,C26,C28,C30",0805,0.22uF,C5378 ,,
2,"C19,C25",0805,0.01uF,C1710 ,,
3,"C11,C12,C20",0805,1uF,C28323,,
1,C18,0805,47PF,C1743 ,,
1,C31,0805,330NF,C1740,,
1,C14,1206,47uF,C165111,,
1,,,,,,
,,,,,,
19,"R11,R12,R15,R16,R21,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58,R59,R60,R75,R77",0805,1k,C17513,,
12,"R9,R10,R13,R14,R35,R36,R37,R38,R48,R49,R55,R56",0805,100k,C17407 ,,
8,"R2,R4,R6,R8,R22,R41,R64,R65",0805,470,C17710 ,,
4,"R25,R27,R31,R32",0805,10,C17415,,
1,R7,0805,3.9k,C17614,,
1,R62,0805,56,C17757,,
1,R63,0805,10k,C17414,,
11,"R1,R3,R61,R66,R67,R68,R69,R70,R71,R72,R73",0805,2.49K,C83387,,
1,R76,0805,51k,C17737,,
1,R78,0805,2K,C17604,,
,,,,,,
,,,,,,
8,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8",0805,RED,C84256,FC-2012HRK-620D,
,,,,,,
,,,,,,
6,"D15,D17,D18,D19,D20,D54",DO214AC,,C14996,SS210,
,,,,,,
1,U1,TO-252-2,,C85225,LM2940L-50-TN3-R,
,,,,,,
2,"IC1,IC2",SO-8,,C44150 ,TC4424,
1,IC4,SOIC16,,C434726,SP720ABTG,
1,IC6,SOIC16,,C7512,ULN2003A,
,,,,,,
0,IC5,SO(W)-8,,,MPXH6250AC6U,MPXH6250AC6U-ND
,,,,,,
,,,,,,
,Through Hole :,,,,,
0,D16,DO-41,Zener 5.6v,,1N5919BG,
,,,,,,
0,U2,Disc 14mm,,,MOV-14D220K,
,,,,,,
0,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",TO-220,N-Channel,,,
,,,,,,
0,J3,Dual Terminal Block,,,1984617,277-1721-ND
0,J4,IDC 40,,,302-S401,ED10529-ND
0,Male Pins 2.54mm,Male Pins,,,PREC040SAAN-RC,S1012EC-40-ND
0,Jumpers,Female Jumper,,,MSB-G,2057-MSB-G-ND
