*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.6c (gnd)
*Date=21:37:38
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;58.9534;-55.4611;0;Bottom;Copper Fill434
2;;;43.434;-36.1063;0;Bottom;Copper Fill361
3;;;65.5828;-25.2224;0;Bottom;Copper Fill315
4;;;21.8948;-8.8267;0;Bottom;Copper Fill385
5;470;0805 [SMD];66.7771;-32.1584;180;Top;R8
6;;;36.0045;-67.234;0;Bottom;Copper Fill189
7;;;0.9652;-57.0867;0;Bottom;Copper Fill130
8;;;95.0341;-16.2562;0;Bottom;Copper Fill413
9;;;50.3819;-53.8434;0;Bottom;Arduino Mega 2560
10;;THT;36.6872;-32.8884;90;Bottom;JP6
11;;THT;4.9372;-8.1234;0;Bottom;J222
12;;;89.9922;-42.1515;0;Bottom;Copper Fill454
13;;;88.6714;-55.2706;0;Bottom;Copper Fill266
14;;;93.4593;-33.9854;0;Bottom;Copper Fill508
15;;;54.7878;-28.0672;0;Bottom;Copper Fill314
16;;;4.2545;-86.7412;0;Bottom;Copper Fill488
17;;THT;37.6397;-8.1234;0;Bottom;J124
18;;;31.2293;-14.0718;0;Bottom;Copper Fill136
19;;;70.5993;-30.2516;0;Bottom;Copper Fill106
20;5V;DPak [SMD];73.1998;-87.2583;180;Top;U1
21;;;95.3389;-91.5672;0;Bottom;Copper Fill196
22;;;3.34982;-76.0683;0;Bottom;Hole4
23;0.22µF;0805 [SMD, multilayer];63.0397;-33.1334;-90;Top;C8
24;;;31.5976;-28.499;0;Bottom;Copper Fill321
25;;;34.4424;-28.118;0;Bottom;Copper Fill49
26;;;94.7928;-61.4682;0;Bottom;Copper Fill263
27;;;21.4249;-8.3314;0;Bottom;Copper Fill125
28;;;94.7293;-29.2864;0;Bottom;Copper Fill221
29;;;22.0345;-94.0564;0;Bottom;Copper Fill181
30;;;94.7928;-48.7682;0;Bottom;Copper Fill282
31;;;44.4246;-36.1063;0;Bottom;Copper Fill362
32;;;12.5349;-4.75;0;Bottom;Copper Fill235
33;;;62.9666;-20.5615;0;Bottom;Copper Fill479
34;;;94.5388;-16.7515;0;Bottom;Copper Fill157
35;;;54.0766;-68.1611;0;Bottom;Copper Fill496
36;;;61.7474;-28.626;0;Bottom;Copper Fill64
37;;;7.3025;-24.1556;0;Bottom;Copper Fill561
38;;;83.2104;-15.799;0;Bottom;Copper Fill333
39;;;42.6593;-28.9054;0;Bottom;Copper Fill512
40;;;57.023;-38.024;0;Bottom;Copper Fill42
41;;;54.3941;-59.4362;0;Bottom;Copper Fill141
42;;;80.8586;-69.36;90;Bottom;DRV8825
43;;;70.2945;-8.6616;0;Bottom;Copper Fill159
44;;;4.2545;-94.0564;0;Bottom;Copper Fill178
45;;;85.725;-45.4154;0;Bottom;Copper Fill285
46;;;44.4246;-36.1063;0;Bottom;Copper Fill109
47;;;54.7116;-91.9863;0;Bottom;Copper Fill226
48;;;62.9793;-24.0286;0;Bottom;Copper Fill480
49;0.1µF;0805 [SMD, multilayer];58.0322;-20.5059;180;Top;C5
50;;;84.074;-91.9863;0;Bottom;Copper Fill536
51;;;43.9896;-36.0634;0;Bottom;Via147
52;;;44.1706;-88.7859;0;Bottom;Copper Fill505
53;;;29.5148;-18.6819;0;Bottom;Copper Fill379
54;;;83.2993;-41.072;0;Bottom;Copper Fill113
55;;THT;12.5572;-15.7434;0;Bottom;J169
56;;;12.8397;-26.7718;0;Bottom;Copper Fill209
57;0.1µF;0805 [SMD, multilayer];82.5945;-91.9434;180;Top;C15
58;;;65.2145;-85.4966;0;Bottom;Copper Fill216
59;;TO220 [THT];24.6222;-91.5443;180;Bottom;Q3
60;470;0805 [SMD];75.7397;-25.5134;-90;Top;R22
61;;;60.9346;-84.9759;0;Bottom;Copper Fill393
62;;TO220 [THT];46.1487;-70.6709;90;Bottom;Q7
63;;;65.2145;-84.506;0;Bottom;Copper Fill217
64;;;59.5122;-20.5615;0;Bottom;Copper Fill441
65;2.2k;0805 [SMD];56.6897;-84.0784;-90;Top;R78
66;;;58.4454;-67.3991;0;Bottom;Copper Fill437
67;;;1.8796;-57.0867;0;Bottom;Copper Fill389
68;;THT;12.5572;-8.1234;0;Bottom;J216
69;;THT;12.5572;-18.2834;0;Bottom;J172
70;;;58.9534;-45.6567;0;Bottom;Copper Fill472
71;;THT;92.2497;-11.6159;180;Bottom;JP3
72;;;31.2293;-14.0718;0;Bottom;Copper Fill394
73;;;74.8792;-50.3811;0;Bottom;Copper Fill350
74;;;58.9121;-33.2059;0;Bottom;Via144
75;;;52.2446;-19.5535;0;Bottom;Via218
76;2.2;0805 [SMD];65.3347;-48.1284;0;Top;R68
77;;THT;10.0172;-8.1234;0;Bottom;J218
78;;;79.5528;-79.0196;0;Bottom;Copper Fill248
79;;;23.7744;-18.2882;0;Bottom;Copper Fill83
80;;;49.9872;-72.1616;0;Bottom;Copper Fill242
81;;;21.082;-85.7887;0;Bottom;Copper Fill484
82;;;83.3628;-31.4962;0;Bottom;Copper Fill53
83;;0805 [SMD];60.5722;-52.8909;0;Top;LED2
84;;;92.6084;-34.8363;0;Bottom;Copper Fill202
85;;;80.8228;-22.4792;0;Bottom;Copper Fill325
86;;;36.0521;-90.991;0;Bottom;Via227
87;;THT;36.3697;-14.1559;90;Bottom;A5 A7
88;;;60.1821;-39.5559;0;Bottom;Via145
89;;;59.944;-84.9759;0;Bottom;Copper Fill134
90;;;45.0596;-47.5363;0;Bottom;Copper Fill409
91;;;55.4035;-22.9859;0;Bottom;Via172
92;;;25.2984;-51.5622;0;Bottom;Copper Fill276
93;;;41.3893;-8.6616;0;Bottom;Copper Fill161
94;;;40.2336;-67.3991;0;Bottom;Copper Fill463
95;;;52.324;-21.4378;0;Bottom;Copper Fill72
96;;;88.6841;-92.2276;0;Bottom;Copper Fill228
97;;THT;7.4772;-13.2034;0;Bottom;J215
98;;;44.5897;-53.7212;0;Bottom;Copper Fill145
99;;;44.5897;-48.0316;0;Bottom;Copper Fill406
100;1k;0805 [SMD];49.3872;-73.2834;90;Top;R50
101;;;94.7928;-51.3082;0;Bottom;Copper Fill278
102;;;40.1193;-30.6326;0;Bottom;Copper Fill513
103;;;21.4376;-28.3974;0;Bottom;Copper Fill319
104;;;87.4141;-63.9574;0;Bottom;Copper Fill500
105;;;43.9674;-28.626;0;Bottom;Copper Fill59
106;;;21.4376;-51.3082;0;Bottom;Copper Fill28
107;;;94.7928;-51.3082;0;Bottom;Copper Fill27
108;;;52.832;-91.9863;0;Bottom;Copper Fill532
109;100k;0805 [SMD];32.2422;-68.3759;-90;Top;R49
110;;;5.3848;-44.4756;0;Bottom;Copper Fill288
111;;;66.4845;-36.2968;0;Bottom;Copper Fill110
112;;;38.9096;-19.871;0;Bottom;Via124
113;;;4.0132;-5.6263;0;Bottom;Copper Fill208
114;;;59.2328;-79.0196;0;Bottom;Copper Fill243
115;;;49.3141;-66.9038;0;Bottom;Copper Fill458
116;;;51.7144;-19.5963;0;Bottom;Copper Fill164
117;;;43.9293;-35.6364;0;Bottom;Copper Fill360
118;;;21.4376;-36.0682;0;Bottom;Copper Fill301
119;;;3.34982;-53.2085;0;Bottom;Hole3
120;0.1µF;0805 [SMD, multilayer];35.4897;-19.8709;0;Top;C3
121;;;69.7484;-34.2267;0;Bottom;Copper Fill547
122;;;40.1193;-28.9054;0;Bottom;Copper Fill514
123;100k;0805 [SMD];34.1472;-92.1883;-90;Top;R10
124;;;41.4496;-8.1235;0;Bottom;Via220
125;;;44.5897;-67.234;0;Bottom;Copper Fill491
126;;;12.3444;-26.3019;0;Bottom;Copper Fill545
127;;;53.7845;-92.9388;0;Bottom;Copper Fill224
128;;;13.9446;-33.6552;0;Bottom;Copper Fill304
129;;;70.6596;-29.7134;0;Bottom;Via68
130;1k;0805 [SMD];80.2572;-13.8384;180;Top;R39
131;;;84.6296;-28.1259;0;Bottom;Via93
132;;;4.2545;-84.8616;0;Bottom;Copper Fill489
133;;;12.8397;-26.7718;0;Bottom;Copper Fill543
134;;;82.804;-36.7667;0;Bottom;Copper Fill411
135;;;21.4376;-25.9082;0;Bottom;Copper Fill71
136;0.01µF;0805 [SMD, multilayer];73.8347;-13.4483;-90;Top;C25
