*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.4d
*Date=19:59:33
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;53.1241;-67.234;0;Bottom;Copper Fill498
2;;;36.9316;-68.1611;0;Bottom;Copper Fill189
3;;;59.2328;-79.0196;0;Bottom;Copper Fill248
4;;;17.1704;-85.9411;0;Bottom;Copper Fill445
5;;;23.1648;-71.6663;0;Bottom;Copper Fill374
6;;;21.4376;-51.3082;0;Bottom;Copper Fill28
7;;;89.9922;-57.3915;0;Bottom;Copper Fill450
8;;;11.4173;-30.5056;0;Bottom;Copper Fill466
9;;;94.7928;-71.6282;0;Bottom;Copper Fill12
10;;THT;12.5572;-18.6009;0;Bottom;J169
11;100k;0805 [SMD];57.9597;-68.3759;-90;Top;R56
12;;;23.9522;-21.0568;0;Bottom;Copper Fill78
13;1k;0805 [SMD];89.7097;-15.3533;-90;Top;R60
14;;;54.1274;-28.626;0;Bottom;Copper Fill63
15;;;84.074;-91.9863;0;Bottom;Copper Fill541
16;;;84.6296;-21.1409;0;Bottom;Via243
17;;;4.1148;-46.5711;0;Bottom;Copper Fill420
18;;;83.5533;-91.4656;0;Bottom;Copper Fill540
19;;;81.0641;-67.0816;0;Bottom;Copper Fill350
20;100k;0805 [SMD];88.5122;-57.3359;180;Top;R35
21;;;96.4946;-90.4115;0;Bottom;Copper Fill197
22;1k;0805 [SMD];84.5571;-13.8384;0;Top;R40
23;;;55.4035;-22.9859;0;Bottom;Via172
24;;;6.3246;-70.3963;0;Bottom;Copper Fill574
25;;TO220 [THT];6.8422;-91.5443;180;Bottom;Q2
26;;;27.9146;-25.3367;0;Bottom;Copper Fill234
27;;;89.789;-76.9114;0;Bottom;Copper Fill2
28;;;60.9346;-55.4611;0;Bottom;Copper Fill430
29;;;22.7171;-71.6234;0;Bottom;Via170
30;;;63.7032;-89.9543;0;Bottom;Copper Fill558
31;;;48.3997;-92.126;0;Bottom;Copper Fill409
32;;;77.5208;-27.483;0;Bottom;Copper Fill70
33;;;76.2762;-32.0042;0;Bottom;Copper Fill51
34;1µF;0805 [SMD, multilayer];12.4846;-43.0484;180;Top;C20
35;;;31.6484;-67.3991;0;Bottom;Copper Fill459
36;;;94.7928;-66.5482;0;Bottom;Copper Fill267
37;;;22.0345;-84.8616;0;Bottom;Copper Fill176
38;0.1µF;0805 [SMD, multilayer];82.5945;-91.9434;180;Top;C15
39;;;60.4393;-84.506;0;Bottom;Copper Fill389
40;100 nF;0805 [SMD, multilayer];70.6597;-25.5134;-90;Top;C29
41;;;4.32736;-59.6694;-90;Bottom;TXT13
42;0.22µF;0805 [SMD, multilayer];60.4997;-25.5134;-90;Top;C6
43;;;5.8293;-69.9264;0;Bottom;Copper Fill245
44;;;83.2993;-36.2714;0;Bottom;Copper Fill149
45;;;80.8586;-69.36;90;Bottom;DRV8825
46;;THT;7.4772;-13.5209;0;Bottom;J211
47;;;83.0834;-30.8866;0;Bottom;Copper Fill311
48;;;82.804;-36.7667;0;Bottom;Copper Fill150
49;;;97.2484;-81.3642;0;Bottom;TXT8
50;;;73.1393;-93.396;0;Bottom;Copper Fill241
51;;;43.9293;-33.4012;0;Bottom;Copper Fill112
52;;;78.5971;-84.9585;0;Bottom;Via231
53;;;25.8953;-78.8926;0;Bottom;Copper Fill513
54;;;51.9271;-7.171;0;Bottom;Via177
55;;;45.5168;-68.1611;0;Bottom;Copper Fill495
56;;;2.3971;-80.831;0;Bottom;Via186
57;100k;0805 [SMD];34.1472;-92.1883;-90;Top;R10
58;;;96.4946;-90.4115;0;Bottom;Copper Fill507
59;;;37.338;-10.973;0;Bottom;Copper Fill94
60;;;39.8924;-16.0399;0;Bottom;TXT4
61;;;87.2744;-35.23;0;Bottom;Copper Fill302
62;;;12.8397;-26.7718;0;Bottom;Copper Fill208
63;;;80.6196;-21.9966;0;Bottom;Copper Fill323
64;;;19.2786;-37.3763;0;Bottom;Copper Fill529
65;;;84.6328;-26.4924;0;Bottom;Copper Fill319
66;;sma-diode;49.9496;-86.2283;0;Top;D54
67;;v18za2p;88.7572;-87.8159;-90;Bottom;U2
68;;;19.2786;-39.9163;0;Bottom;Copper Fill201
69;;;52.8193;-24.0286;0;Bottom;Copper Fill434
70;;;73.1393;-94.3866;0;Bottom;Copper Fill240
71;100k;0805 [SMD];40.8147;-68.3759;-90;Top;R55
72;;;40.1193;-28.9054;0;Bottom;Copper Fill517
73;;THT;7.4772;-16.0609;0;Bottom;J215
74;;;43.9293;-34.3664;0;Bottom;Copper Fill111
75;;;94.492;-16.0852;-90;Bottom;TXT4
76;;;32.5882;-12.3319;0;Bottom;Copper Fill170
77;;;73.9394;-65.0115;0;Bottom;Copper Fill425
78;;;4.2545;-94.0564;0;Bottom;Copper Fill485
79;;;94.7896;-29.7134;0;Bottom;Via134
80;;;23.3391;-75.749;0;Bottom;Via216
81;;;22.0345;-92.1768;0;Bottom;Copper Fill489
82;;;94.2086;-90.4115;0;Bottom;Copper Fill196
83;;;50.6476;-47.3204;0;Bottom;Copper Fill287
84;;;70.6596;-8.441;0;Bottom;Via222
85;;;21.4376;-18.2882;0;Bottom;Copper Fill84
