*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3.1b
*Date=16:05:20
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;60.4393;-23.7492;0;Bottom;Copper Fill459
2;;;69.342;-91.3259;0;Bottom;Copper Fill237
3;;;21.1328;-19.2788;0;Bottom;Copper Fill86
4;;;84.5693;-50.2922;0;Bottom;Copper Fill545
5;;;68.7197;-13.4622;0;Bottom;Copper Fill215
6;;;27.5844;-7.9123;0;Bottom;Copper Fill402
7;;;6.35873;-4.1985;0;Bottom;TXT11
8;;;1.8542;-14.5671;0;Bottom;Copper Fill145
9;;;60.1821;-39.2853;0;Bottom;Via145
10;;;71.2216;-91.3259;0;Bottom;Copper Fill238
11;;;94.7928;-58.6488;0;Bottom;Copper Fill29
12;;;52.8768;-89.707;0;Bottom;TXT11
13;;;27.1145;-7.417;0;Bottom;Copper Fill148
14;1k;0805 [SMD];31.6072;-84.6152;-90;Top;R11
15;;;2.3749;-81.1024;0;Bottom;Copper Fill394
16;;;43.434;-35.8523;0;Bottom;Copper Fill125
17;;;82.423;-9.9316;0;Bottom;Copper Fill341
18;;;84.074;-50.7875;0;Bottom;Copper Fill214
19;;;70.6596;-29.4428;0;Bottom;Via68
20;;;18.8214;-11.6588;0;Bottom;Copper Fill95
21;;;47.2186;-7.8996;0;Bottom;Copper Fill346
22;;THT;11.6047;-13.8853;0;Bottom;J144
23;;;17.9832;-22.022;0;Bottom;Copper Fill327
24;;;89.9922;-57.1375;0;Bottom;Copper Fill430
25;;;54.7878;-27.7878;0;Bottom;Copper Fill314
26;;SO;55.7372;-38.1169;0;Top;IC4
27;;;54.3052;-66.1799;0;Bottom;Copper Fill457
28;2.2k;0805 [SMD];57.0072;-84.9327;-90;Top;R78
29;;THT;50.9747;-82.1478;90;Bottom;JP7
30;;;36.6649;-65.6592;0;Bottom;Copper Fill453
31;;;87.4141;-63.678;0;Bottom;Copper Fill500
32;;;29.5148;-18.3771;0;Bottom;Copper Fill138
33;;;82.4484;-21.7426;0;Bottom;Copper Fill79
34;;;83.4898;-83.1471;0;Bottom;Copper Fill420
35;;;88.6841;-91.9482;0;Bottom;Copper Fill547
36;;;45.1993;-65.6592;0;Bottom;Copper Fill449
37;;;24.2316;-65.9767;0;Bottom;Copper Fill499
38;;;44.3992;-82.1692;0;Bottom;Copper Fill2
39;;;34.4297;-19.1264;0;Bottom;Copper Fill538
40;;;81.0641;-66.8276;0;Bottom;Copper Fill360
41;;;22.3393;-59.5124;0;Bottom;Copper Fill151
42;;;14.1196;-4.1985;0;Bottom;TXT11
43;;;39.9288;-76.6828;0;Bottom;Copper Fill249
44;;;50.3819;-53.5728;0;Bottom;Arduino Mega 2560
45;;;53.213;-8.3568;0;Bottom;Copper Fill348
46;;;57.023;-37.77;0;Bottom;Copper Fill44
47;;;82.9945;-83.6424;0;Bottom;Copper Fill165
48;;;70.2945;-92.2784;0;Bottom;Copper Fill563
49;100k;0805 [SMD];88.5122;-34.8402;180;Top;R38
50;;THT;11.6047;-18.9653;0;Bottom;J172
51;;;84.3788;-59.0171;0;Bottom;Copper Fill132
52;;THT;9.0647;-11.3453;0;Bottom;J186
53;;;2.3971;-80.5603;0;Bottom;Via186
54;;;3.0226;-31.8264;0;Bottom;Copper Fill305
55;;;2.0796;-28.1728;0;Bottom;Via199
56;;;73.4441;-65.2528;0;Bottom;Copper Fill174
57;;;75.4221;-50.0803;0;Bottom;Via47
58;4.7µF;0805 [SMD, multilayer];13.7546;-29.7602;180;Top;C31
59;;;63.4873;-20.8536;0;Bottom;Copper Fill476
60;;;59.2328;-78.7402;0;Bottom;Copper Fill244
61;;;93.4593;-33.7314;0;Bottom;Copper Fill205
62;;;4.2545;-91.9228;0;Bottom;Copper Fill488
63;;;59.9313;-71.1964;0;Bottom;Copper Fill469
64;;;2.3971;-14.5203;0;Bottom;Via189
65;;;21.1328;-47.2188;0;Bottom;Copper Fill284
66;;;76.5302;-76.5812;0;Bottom;Copper Fill253
67;;;94.7928;-61.1888;0;Bottom;Copper Fill269
68;;;70.2945;-90.3988;0;Bottom;Copper Fill236
69;;;53.2384;-66.1799;0;Bottom;Copper Fill456
70;;;78.1304;-9.7538;0;Bottom;Copper Fill96
71;;;89.6112;-26.1114;0;Bottom;Copper Fill97
72;;;61.7728;-28.3466;0;Bottom;Copper Fill69
73;;;59.5122;-20.3075;0;Bottom;Copper Fill433
74;;;84.5693;-51.2828;0;Bottom;Copper Fill212
75;220;0805 [SMD];68.1197;-25.2427;-90;Top;R65
76;;;17.4244;-72.9871;0;Bottom;Copper Fill553
77;;;59.4741;-65.8624;0;Bottom;Copper Fill367
