# Created by VisualPlace version 3.1.6237 at Tue Nov 17 21:25:20 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"

"C18","47pF","0.4885","1.5160","0.0","Top","0805","SMD"
"C19","0.01uF","0.4875","1.7890","0.0","Top","0805","SMD"
"C25","0.01uF","2.9035","0.5270","90.0","Top","0805","SMD"
"C2","0.1uF / 100nF","1.9795","1.0000","90.0","Top","0805","SMD"
"C4","0.1uF / 100nF","2.0765","1.0010","90.0","Top","0805","SMD"
"C6","0.1uF / 100nF","2.3775","0.9990","90.0","Top","0805","SMD"
"C8","0.1uF / 100nF","2.4775","1.3000","90.0","Top","0805","SMD"
"C10","0.1uF / 100nF","2.8785","1.0010","90.0","Top","0805","SMD"
"C24","0.1uF / 100nF","3.0035","0.5270","90.0","Top","0805","SMD"
"C27","0.1uF / 100nF","2.4775","0.9990","90.0","Top","0805","SMD"
"C29","0.1uF / 100nF","2.7765","0.9990","90.0","Top","0805","SMD"
"C1","0.22uF","1.7785","1.0000","90.0","Top","0805","SMD"
"C3","0.22uF","1.3935","0.7780","0.0","Top","0805","SMD"
"C5","0.22uF","2.2805","0.8030","0.0","Top","0805","SMD"
"C7","0.22uF","2.7655","1.3010","90.0","Top","0805","SMD"
"C9","0.22uF","2.8015","0.5260","90.0","Top","0805","SMD"
"C13","0.22uF","2.5268","3.5767","90.0","Top","0805","SMD"
"C15","0.22uF","3.2481","3.6158","0.0","Top","0805","SMD"
"C26","0.22uF","2.5365","0.8020","0.0","Top","0805","SMD"
"C28","0.22uF","2.6775","0.7760","90.0","Top","0805","SMD"
"C30","0.22uF","2.4295","2.8270","0.0","Top","0805","SMD"
"C31","330nF","0.4875","1.2150","0.0","Top","0805","SMD"
"C11","1uf","2.4545","2.4160","0.0","Top","0805","SMD"
"C12","1uf","3.0305","1.6650","0.0","Top","0805","SMD"
"C20","1uf","0.4875","1.6890","0.0","Top","0805","SMD"
"C16","10uf Tant","3.2585","3.4778","180.0","Top","1206","SMD"
"C32","22uF","1.2435","1.4510","0.0","Top","0805","SMD"
"C14","47uF","2.6535","3.5610","90.0","Top","1206","SMD"
"R25","10","2.7497","2.1772","0.0","Top","0805","SMD"
"R27","10","2.7495","2.0780","0.0","Top","0805","SMD"
"R31","10","2.7505","1.7890","0.0","Top","0805","SMD"
