*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3a (GND)
*Date=01:09:23
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;7.4772;-10.9809;0;Bottom;J217
2;;;71.2597;-11.9636;0;Bottom;Copper Fill520
3;;;69.042;-73.9362;0;Bottom;TXT1
4;;TO220 [THT];24.6222;-91.5443;180;Bottom;Q3
5;;;68.0593;-18.3136;0;Bottom;Copper Fill466
6;;;88.5952;-16.9166;0;Bottom;Copper Fill318
7;;;25.8953;-78.8926;0;Bottom;Copper Fill505
8;100k;0805 [SMD];57.9597;-68.3759;-90;Top;R56
9;;;84.6328;-26.34;0;Bottom;Copper Fill313
10;;;23.7744;-30.9882;0;Bottom;Copper Fill55
11;;;78.0542;-65.5322;0;Bottom;Copper Fill259
12;;;94.5642;-33.325;0;Bottom;Copper Fill49
13;;;51.7144;-19.5963;0;Bottom;Copper Fill152
14;;;60.4996;-84.9585;0;Bottom;Via196
15;;;82.0928;-28.7022;0;Bottom;Copper Fill307
16;;;81.0641;-67.0816;0;Bottom;Copper Fill105
17;;;37.338;-6.9344;0;Bottom;Copper Fill98
18;;;64.2874;-28.626;0;Bottom;Copper Fill66
19;;;88.6714;-55.2706;0;Bottom;Copper Fill268
20;;;69.3928;-79.0196;0;Bottom;Copper Fill244
21;;;42.545;-40.1068;0;Bottom;Copper Fill40
22;;;30.3371;-4.3135;0;Bottom;Via219
23;;;94.7928;-56.3882;0;Bottom;Copper Fill270
24;;;66.9544;-35.8015;0;Bottom;Copper Fill358
25;;THT;15.0972;-10.9809;0;Bottom;J219
26;;;21.4376;-51.3082;0;Bottom;Copper Fill28
27;;TO220 [THT];46.1487;-70.6709;90;Bottom;Q7
28;;;60.4393;-84.506;0;Bottom;Copper Fill136
29;;;11.4173;-30.5056;0;Bottom;Copper Fill457
30;;THT;50.9747;-82.4184;90;Bottom;JP7
31;;;79.0194;-84.9759;0;Bottom;Copper Fill232
32;;;24.9428;-30.8358;0;Bottom;Copper Fill301
33;;;82.4484;-22.022;0;Bottom;Copper Fill74
34;;;60.8838;-61.5063;0;Bottom;Copper Fill420
35;;;12.8397;-26.7718;0;Bottom;Copper Fill207
36;;;49.3141;-66.9038;0;Bottom;Copper Fill447
37;100k;0805 [SMD];34.1472;-84.8858;-90;Top;R9
38;;;96.4946;-90.4115;0;Bottom;Copper Fill195
39;;;65.2145;-85.4966;0;Bottom;Copper Fill212
40;;;50.6476;-47.3204;0;Bottom;Copper Fill281
41;;;5.8293;-69.9264;0;Bottom;Copper Fill240
42;;;21.4376;-56.1342;0;Bottom;Copper Fill22
43;;;22.0345;-84.8616;0;Bottom;Copper Fill173
44;;;84.6328;-79.0196;0;Bottom;Copper Fill250
45;;;21.4376;-18.2882;0;Bottom;Copper Fill83
46;1k;0805 [SMD];88.5122;-52.5734;180;Top;R23
47;;;57.8993;-66.9038;0;Bottom;Copper Fill422
48;;THT;33.8297;-33.5234;90;Bottom;Remove to Prog
49;;;65.9892;-35.8015;0;Bottom;Copper Fill115
50;;;62.3697;-7.0868;0;Bottom;Copper Fill409
51;;;4.2545;-92.1768;0;Bottom;Copper Fill477
52;;;44.5897;-54.6864;0;Bottom;Copper Fill386
53;;THT;96.4407;-87.9429;0;Bottom;J3
