*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3a (GND)
*Date=20:16:02
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;84.5693;-50.5462;0;Bottom;Copper Fill538
2;;;82.0928;-79.0196;0;Bottom;Copper Fill252
3;;;53.7845;-91.0592;0;Bottom;Copper Fill531
4;;;80.8228;-27.0766;0;Bottom;Copper Fill70
5;;;40.2336;-67.3991;0;Bottom;Copper Fill457
6;470;0805 [SMD];57.9597;-25.5134;-90;Top;R6
7;;THT;4.9372;-10.9809;0;Bottom;J222
8;;;74.8792;-50.3811;0;Bottom;Copper Fill345
9;;;26.4668;-68.1611;0;Bottom;Copper Fill495
10;;;48.768;-67.3991;0;Bottom;Copper Fill451
11;;;52.324;-21.4378;0;Bottom;Copper Fill73
12;;0603 [SMD];62.3021;-52.8909;0;Top;LED2
13;;;83.3628;-31.4962;0;Bottom;Copper Fill53
14;;;85.0646;-51.0415;0;Bottom;Copper Fill539
15;;;85.725;-73.9142;0;Bottom;Copper Fill257
16;;;78.0288;-84.9759;0;Bottom;Copper Fill236
17;;;65.6844;-84.9759;0;Bottom;Copper Fill214
18;;;73.9394;-65.0115;0;Bottom;Copper Fill170
19;;;74.4474;-28.626;0;Bottom;Copper Fill68
20;;;19.05;-25.9082;0;Bottom;Copper Fill318
21;;;89.6366;-38.5828;0;Bottom;Copper Fill294
22;;;39.878;-10.973;0;Bottom;Copper Fill94
23;;;25.8953;-78.8926;0;Bottom;Copper Fill512
24;;;34.1249;-93.777;0;Bottom;Copper Fill436
25;;;12.8397;-26.7718;0;Bottom;Copper Fill206
26;;;59.3852;-14.9354;0;Bottom;Copper Fill331
27;;;21.4376;-51.3082;0;Bottom;Copper Fill28
28;;;62.8269;-71.4504;0;Bottom;Copper Fill467
29;;;49.9872;-50.0128;0;Bottom;Copper Fill29
30;;;10.8966;-43.1167;0;Bottom;Copper Fill560
31;100k;0805 [SMD];88.5122;-57.3359;180;Top;R35
32;;;29.5148;-18.6819;0;Bottom;Copper Fill374
33;;;13.1826;-68.4532;0;Bottom;Copper Fill260
34;;;33.4746;-5.65669;0;Bottom;TXT11
35;;;53.5432;-54.4578;0;Bottom;Copper Fill275
36;;;88.6841;-90.8814;0;Bottom;Copper Fill227
37;;;72.2884;-51.105;0;Bottom;Copper Fill279
38;;;89.9922;-50.3811;0;Bottom;Copper Fill448
39;;;47.9044;-92.5959;0;Bottom;Copper Fill156
40;;;62.8396;-6.5915;0;Bottom;Copper Fill163
