*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3a
*Date=14:47:20
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;31.5976;-28.499;0;Bottom;Copper Fill318
2;;;32.2421;-59.2409;0;Bottom;Via100
3;;;84.2772;-50.0636;0;Bottom;Copper Fill19
4;;;21.4376;-20.8282;0;Bottom;Copper Fill79
5;;;10.8966;-31.0263;0;Bottom;Copper Fill467
6;;;48.768;-67.3991;0;Bottom;Copper Fill457
7;1k;0805 [SMD];13.8272;-84.8858;-90;Top;R16
8;10µF;A 3216 [SMD, tantalum];82.8547;-88.451;0;Top;C16
9;470;0805 [SMD];47.7997;-25.5134;-90;Top;R2
10;;;94.7293;-29.2864;0;Bottom;Copper Fill560
11;;;4.9149;-7.6202;0;Bottom;Copper Fill551
12;;;43.9674;-28.626;0;Bottom;Copper Fill61
13;;;3.302;-85.7887;0;Bottom;Copper Fill493
14;;;4.2545;-92.1768;0;Bottom;Copper Fill486
15;;TO220 [THT];24.6222;-91.5443;180;Bottom;Q3
16;;;85.725;-73.9142;0;Bottom;Copper Fill260
17;;THT;10.0172;-16.0609;0;Bottom;J182
18;;;27.4193;-67.234;0;Bottom;Copper Fill500
19;;;84.5693;-51.5368;0;Bottom;Copper Fill202
20;;;60.1345;-36.0428;0;Bottom;Copper Fill468
21;2.2;0603 [SMD];66.1121;-45.5884;0;Top;R69
22;;;89.9922;-35.1411;0;Bottom;Copper Fill455
23;;THT;92.2497;-13.5209;180;Bottom;JP3
24;;;2.3749;-81.3564;0;Bottom;Copper Fill126
25;;THT;7.4772;-21.1409;0;Bottom;J213
26;;;1.8542;-80.8611;0;Bottom;Copper Fill128
27;;THT;7.4772;-13.5209;0;Bottom;J211
28;;;84.9884;-11.4048;0;Bottom;Copper Fill92
29;;THT;37.3222;-11.1079;-90;Bottom;AUX
30;;;34.4297;-19.4058;0;Bottom;Copper Fill524
31;;THT;15.0972;-16.0609;0;Bottom;J173
32;;;62.9793;-34.7474;0;Bottom;Copper Fill518
33;;;84.5693;-50.5462;0;Bottom;Copper Fill542
34;;;3.6449;-46.1012;0;Bottom;Copper Fill167
35;100 nF;0805 [SMD, multilayer];63.0397;-25.5134;-90;Top;C27
36;;;3.1242;-46.5711;0;Bottom;Copper Fill168
37;;;94.7928;-64.0082;0;Bottom;Copper Fill269
38;;;88.6714;-55.2706;0;Bottom;Copper Fill274
39;;;70.5993;-8.9918;0;Bottom;Copper Fill151
40;;;47.7996;-29.7134;0;Bottom;Via81
41;;THT;15.0972;-10.9809;0;Bottom;J219
42;;;63.4873;-20.0154;0;Bottom;Copper Fill478
43;;;2.3971;-80.831;0;Bottom;Via186
44;;;21.8948;-8.8267;0;Bottom;Copper Fill132
45;;;60.8838;-61.5063;0;Bottom;Copper Fill429
46;100k;0805 [SMD];88.5122;-42.0959;180;Top;R36
47;;;84.3788;-59.2711;0;Bottom;Copper Fill120
48;;;77.5716;-18.1866;0;Bottom;Copper Fill86
49;;;83.3628;-31.4962;0;Bottom;Copper Fill54
50;;;64.3097;-87.4984;0;Bottom;HC-05
51;;;59.3852;-14.9354;0;Bottom;Copper Fill334
52;;;10.8966;-36.1063;0;Bottom;Copper Fill533
