Designator,mid x,mid y,Rotation,layer
C18,12.41,38.51,0,Top
C19,12.38,45.44,0,Top
C25,73.75,13.39,90,Top
C2,50.28,25.40,90,Top
C4,52.74,25.43,90,Top
C6,60.39,25.37,90,Top
C8,62.93,33.02,90,Top
C10,73.11,25.43,90,Top
C24,76.29,13.39,90,Top
C27,62.93,25.37,90,Top
C29,70.52,25.37,90,Top
C1,45.17,25.40,90,Top
C3,47.16,20.04,0,Top
C5,57.92,20.40,0,Top
C7,70.24,33.05,90,Top
C9,71.16,13.36,90,Top
C13,64.18,90.85,90,Top
C15,82.50,91.84,0,Top
C26,64.43,20.37,0,Top
C28,68.01,19.71,90,Top
C30,61.71,71.81,0,Top
C31,12.38,30.86,0,Top
C11,62.34,61.37,0,Top
C12,76.97,42.29,0,Top
C20,12.38,42.90,0,Top
C16,82.77,88.34,180,Top
C32,31.58,36.86,0,Top
C14,67.40,90.45,90,Top
R25,69.84,55.30,0,Top
R27,69.84,52.78,0,Top
R31,69.86,45.44,0,Top
R32,69.84,47.96,0,Top
R62,36.33,36.86,0,Top
R2,47.71,25.40,90,Top
R4,55.31,25.37,90,Top
R6,57.82,25.40,90,Top
R8,66.69,32.11,0,Top
R22,75.60,25.40,90,Top
R41,12.41,33.35,0,Top
R64,65.47,25.40,90,Top
R65,68.06,25.40,90,Top
R11,31.51,84.79,90,Top
R12,31.48,92.07,90,Top
R15,13.70,92.07,90,Top
R16,13.73,84.79,90,Top
R21,72.78,33.05,90,Top
R23,88.43,52.40,0,Top
R24,88.40,54.99,0,Top
R29,88.40,37.16,0,Top
R30,88.40,39.75,0,Top
R39,80.12,13.74,0,Top
R40,84.47,13.74,0,Top
R50,49.26,73.18,90,Top
R51,32.12,73.20,90,Top
R57,40.68,73.20,90,Top
R58,57.90,73.23,90,Top
R59,89.62,23.22,90,Top
R60,89.60,15.24,90,Top
R75,49.70,10.24,0,Top
R77,59.37,80.31,0,Top
R78,56.58,83.97,270,Top
R66,66.03,55.32,0,Top
R67,66.00,52.73,0,Top
R68,66.03,48.01,0,Top
R69,66.03,45.42,0,Top
R61,61.76,74.37,0,Top
R7,76.19,32.05,0,Top
R63,55.38,14.07,0,Top
R76,12.38,35.97,0,Top
R9,34.07,84.81,90,Top
R10,34.02,92.10,90,Top
R13,16.57,92.07,90,Top
R14,16.55,84.76,90,Top
R35,88.40,57.25,0,Top
R36,88.40,41.99,0,Top
R37,88.40,50.22,0,Top
R38,88.43,34.92,0,Top
R48,49.26,68.28,90,Top
R49,32.17,68.28,90,Top
R55,40.70,68.25,90,Top
R56,57.82,68.28,90,Top
D15,83.45,82.68,0,Top
D54,49.77,86.16,0,Top
U1,73.12,87.21,270,Top
LED1,62.19,55.35,0,Top
LED2,62.22,52.78,0,Top
LED3,62.22,48.01,0,Top
LED4,62.22,45.42,0,Top
IC4,55.61,38.33,0,Top
IC1,79.44,55.96,90,Top
IC2,79.46,46.08,90,Top
IC6,61.73,9.60,90,Top
