*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.3b (grounded)
*Date=22:26:41
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;55.4196;-9.076;0;Bottom;Via180
2;;;56.2102;-22.53;0;Bottom;Copper Fill314
3;;;83.5533;-91.4656;0;Bottom;Copper Fill523
4;;;27.4193;-67.234;0;Bottom;Copper Fill482
5;;;67.7418;-11.4556;0;Bottom;Copper Fill329
6;;;19.1008;-15.7482;0;Bottom;Copper Fill81
7;;;47.7996;-29.7134;0;Bottom;Via81
8;;;19.2786;-39.9163;0;Bottom;Copper Fill194
9;;;72.1741;-62.2556;0;Bottom;Copper Fill165
10;;;94.7928;-64.0082;0;Bottom;Copper Fill15
11;;;56.0832;-85.1283;0;Bottom;Copper Fill463
12;51k;0805 [SMD];12.4846;-36.0634;180;Top;R76
13;;;2.79661;-23.5612;-90;Bottom;TXT11
14;;;11.4173;-30.5056;0;Bottom;Copper Fill447
15;;;66.5321;-11.616;0;Bottom;Via176
16;;;53.1241;-67.234;0;Bottom;Copper Fill182
17;;;83.2993;-41.072;0;Bottom;Copper Fill354
18;;;10.8966;-43.1167;0;Bottom;Copper Fill544
19;;;15.3797;-48.9968;0;Bottom;Copper Fill372
20;;;21.4376;-56.1342;0;Bottom;Copper Fill22
21;;;11.4173;-42.5706;0;Bottom;Copper Fill543
22;;;21.8948;-8.8267;0;Bottom;Copper Fill371
23;1pF;0805 [SMD, multilayer];12.4846;-38.6034;180;Top;C18
24;;;85.0646;-51.0415;0;Bottom;Copper Fill526
25;;;43.434;-33.8711;0;Bottom;Copper Fill348
26;;;77.5208;-27.483;0;Bottom;Copper Fill69
27;0.01µF;0805 [SMD, multilayer];12.4846;-45.5884;180;Top;C19
28;;;47.7774;-29.4896;0;Bottom;Copper Fill57
29;;;66.5476;-6.51822;0;Bottom;Via174
30;;;48.3997;-92.126;0;Bottom;Copper Fill149
31;0.1µF;0805 [SMD, multilayer];64.3097;-90.9183;-90;Top;C13
32;;;60.4393;-84.506;0;Bottom;Copper Fill128
33;0.1µF;0805 [SMD, multilayer];47.2372;-20.1884;180;Top;C3
34;;;27.4193;-67.234;0;Bottom;Copper Fill184
35;;;58.9121;-39.5559;0;Bottom;Via157
36;;;72.644;-93.8659;0;Bottom;Copper Fill227
37;;;64.2493;-89.4336;0;Bottom;Copper Fill539
38;;;94.234;-29.7563;0;Bottom;Copper Fill230
39;;;25.8953;-77.1654;0;Bottom;Copper Fill499
40;;;73.9394;-65.0115;0;Bottom;Copper Fill406
41;;;66.2081;-80.1932;0;Bottom;Via230
42;;;21.4376;-13.2082;0;Bottom;Copper Fill84
43;;;22.1742;-69.4311;0;Bottom;Copper Fill362
44;;;4.2545;-94.0564;0;Bottom;Copper Fill466
45;1k;0805 [SMD];72.8822;-33.1334;-90;Top;R21
46;;;2.9021;-8.1702;-90;Bottom;TXT11
47;;;89.6366;-38.5828;0;Bottom;Copper Fill283
48;;;39.0906;-28.626;0;Bottom;Copper Fill58
49;;;12.8397;-26.7718;0;Bottom;Copper Fill201
50;;;52.832;-91.9863;0;Bottom;Copper Fill211
51;;;48.3997;-92.126;0;Bottom;Copper Fill393
52;;;79.9592;-74.1428;0;Bottom;Copper Fill8
53;;;94.7896;-29.7134;0;Bottom;Via134
54;;;62.8269;-71.4504;0;Bottom;Copper Fill454
55;;;83.3596;-36.6984;0;Bottom;Via226
56;;;81.0641;-67.0816;0;Bottom;Copper Fill339
57;;;56.6896;-80.5135;0;Bottom;Via202
58;100k;0805 [SMD];16.6847;-84.8858;-90;Top;R14
59;;;60.9346;-45.6567;0;Bottom;Copper Fill453
60;100k;0805 [SMD];32.2422;-68.3759;-90;Top;R49
61;;;5.8293;-47.0664;0;Bottom;Copper Fill158
62;2.2k;0805 [SMD];56.6897;-84.0784;-90;Top;R78
63;;;75.8698;-50.3811;0;Bottom;Copper Fill338
64;;;52.6796;-19.5963;0;Bottom;Copper Fill147
65;;;3.302;-85.7887;0;Bottom;Copper Fill474
66;;;66.4845;-36.2968;0;Bottom;Copper Fill108
67;;;88.0872;-14.8592;0;Bottom;Copper Fill321
68;;;5.8896;-70.3534;0;Bottom;Via235
69;;;77.5716;-18.1866;0;Bottom;Copper Fill79
70;;;79.5528;-79.0196;0;Bottom;Copper Fill240
71;;;71.3232;-63.0811;0;Bottom;Copper Fill407
72;;;9.9949;-7.6202;0;Bottom;Copper Fill198
73;;;94.2086;-90.4115;0;Bottom;Copper Fill488
74;;;66.5321;-9.076;0;Bottom;Via175
75;;;52.2097;-19.1264;0;Bottom;Copper Fill145
76;;;21.082;-85.7887;0;Bottom;Copper Fill465
77;;;10.8966;-45.6567;0;Bottom;Copper Fill515
78;;;84.074;-91.9863;0;Bottom;Copper Fill524
79;;;49.9872;-50.0128;0;Bottom;Copper Fill29
80;;;84.6328;-26.34;0;Bottom;Copper Fill306
81;;;89.3921;-32.8884;0;Bottom;Via225
82;;;83.0834;-30.8866;0;Bottom;Copper Fill295
83;;;94.7928;-74.1682;0;Bottom;Copper Fill7
84;;;94.7928;-69.0882;0;Bottom;Copper Fill13
85;;;54.8386;-10.9984;0;Bottom;Copper Fill328
86;;;72.2884;-51.105;0;Bottom;Copper Fill268
87;;;44.4246;-38.3415;0;Bottom;Copper Fill154
88;;;89.789;-76.9114;0;Bottom;Copper Fill2
89;;;60.9346;-84.9759;0;Bottom;Copper Fill130
90;;;69.2036;-64.1111;0;Bottom;TXT1
91;;;15.9512;-8.5219;0;Bottom;Copper Fill215
92;1µF;0805 [SMD, multilayer];77.0822;-42.4134;0;Top;C12
93;;;26.0096;-19.9519;0;Bottom;Copper Fill542
94;;;5.8293;-46.1012;0;Bottom;Copper Fill402
95;;THT;4.9372;-16.0609;0;Bottom;J224
96;;;84.6296;-50.9859;0;Bottom;Via38
97;;;19.2786;-37.3763;0;Bottom;Copper Fill512
98;;;48.3997;-93.1166;0;Bottom;Copper Fill148
99;;;2.3749;-80.3912;0;Bottom;Copper Fill365
100;;;24.3332;-18.6184;0;Bottom;Copper Fill77
101;;;22.7171;-69.4009;0;Bottom;Via170
102;;;6.3246;-46.5711;0;Bottom;Copper Fill161
103;10;0805 [SMD];69.9521;-48.1284;180;Top;R32
104;;;64.2874;-28.626;0;Bottom;Copper Fill66
105;;;73.6346;-93.8659;0;Bottom;Copper Fill228
106;;;78.0288;-84.9759;0;Bottom;Copper Fill223
107;;;26.0858;-41.961;0;Bottom;Copper Fill35
108;;;94.234;-29.7563;0;Bottom;Copper Fill554
109;;;60.9346;-55.4611;0;Bottom;Copper Fill411
110;100k;0805 [SMD];88.5122;-42.0959;180;Top;R36
111;;;53.1241;-67.234;0;Bottom;Copper Fill480
